Time in Seconds,Time in Minutes,Pb1,Pb1-Pb2,Pb2,Pb3,Pb3-Pb4,Pb4,Fire-HF,Fire-CF,Amb-HF,Amb-CF
309.509583,5.158493,580.279297,52.970760,23.788769,20.134647,19.992924,19.999044,23.139343,4.420236,4.343234,20.554590
309.509583,5.158493,580.279297,52.970760,23.788769,20.134647,19.992924,19.999044,23.139343,4.420236,4.343234,20.554590
326.708923,5.445149,588.019043,55.373024,24.456099,20.189194,19.993790,19.998899,9.637304,4.752123,4.649460,6.671384
326.708923,5.445149,588.019043,55.373024,24.456099,20.189194,19.993790,19.998899,9.637304,4.752123,4.649460,6.671384
326.708923,5.445149,588.019043,55.373024,24.456099,20.189194,19.993790,19.998899,9.637304,4.752123,4.649460,6.671384
343.908295,5.731805,595.758728,57.743885,25.166954,20.240330,19.995173,19.998762,23.970579,5.084591,4.950617,20.636040
343.908295,5.731805,595.758728,57.743885,25.166954,20.240330,19.995173,19.998762,23.970579,5.084591,4.950617,20.636040
343.908295,5.731805,595.758728,57.743885,25.166954,20.240330,19.995173,19.998762,23.970579,5.084591,4.950617,20.636040
369.707306,6.161788,606.721130,61.195965,26.345291,20.345900,19.998709,19.998602,10.816239,5.585982,5.392658,6.816345
369.707306,6.161788,606.721130,61.195965,26.345291,20.345900,19.998709,19.998602,10.816239,5.585982,5.392658,6.816345
369.707306,6.161788,606.721130,61.195965,26.345291,20.345900,19.998709,19.998602,10.816239,5.585982,5.392658,6.816345
408.405853,6.806764,621.555603,66.095245,28.301870,20.521898,20.008270,19.998619,26.279556,6.348948,6.033415,21.158401
408.405853,6.806764,621.555603,66.095245,28.301870,20.521898,20.008270,19.998619,26.279556,6.348948,6.033415,21.158401
408.405853,6.806764,621.555603,66.095245,28.301870,20.521898,20.008270,19.998619,26.279556,6.348948,6.033415,21.158401
447.104401,7.451740,634.583069,70.847328,30.434759,20.750166,20.023159,19.999079,13.577536,7.132378,6.647733,7.236619
447.104401,7.451740,634.583069,70.847328,30.434759,20.750166,20.023159,19.999079,13.577536,7.132378,6.647733,7.236619
447.104401,7.451740,634.583069,70.847328,30.434759,20.750166,20.023159,19.999079,13.577536,7.132378,6.647733,7.236619
505.152191,8.419203,652.545654,77.341881,33.886459,21.147058,20.060545,20.001583,30.344625,8.367215,7.524107,21.942751
505.152191,8.419203,652.545654,77.341881,33.886459,21.147058,20.060545,20.001583,30.344625,8.367215,7.524107,21.942751
505.152191,8.419203,652.545654,77.341881,33.886459,21.147058,20.060545,20.001583,30.344625,8.367215,7.524107,21.942751
