s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"Pb1","Pb1-Pb2","Pb2","Pb3","Pb3-Pb4","Pb4","AHF","AHF-Extra","ACF","ACF-Extra","ACF-Extra2","FHF","FHF-Extra","FHF-Extra2","FCF","FCF-Extra"
 5.3284322E+002, 3.1239101E+001, 6.1329286E+001, 5.8245686E+002, 2.0161289E+001, 2.0032795E+001, 2.0009782E+001, 2.1986079E+001, 2.1986079E+001, 2.0319039E+001, 2.0319039E+001, 2.0319039E+001, 2.2320709E+001, 2.2320709E+001, 2.2320709E+001, 2.0624952E+001, 2.0624952E+001
 5.4725522E+002, 3.2028344E+001, 6.2698945E+001, 5.8851398E+002, 2.0172833E+001, 2.0033906E+001, 2.0010339E+001, 2.2175712E+001, 2.2175712E+001, 2.0339797E+001, 2.0339797E+001, 2.0339797E+001, 2.2539291E+001, 2.2539291E+001, 2.2539291E+001, 2.0676410E+001, 2.0676410E+001
 5.6161180E+002, 3.2830978E+001, 6.4025040E+001, 5.9419754E+002, 2.0184985E+001, 2.0035086E+001, 2.0010903E+001, 2.2378947E+001, 2.2378947E+001, 2.0362737E+001, 2.0362737E+001, 2.0362737E+001, 2.2774909E+001, 2.2774909E+001, 2.2774909E+001, 2.0729601E+001, 2.0729601E+001
 5.7602380E+002, 3.3648331E+001, 6.5309444E+001, 5.9962490E+002, 2.0199214E+001, 2.0036351E+001, 2.0011476E+001, 2.2595381E+001, 2.2595381E+001, 2.0388689E+001, 2.0388689E+001, 2.0388689E+001, 2.3016882E+001, 2.3016882E+001, 2.3016882E+001, 2.0785541E+001, 2.0785541E+001
 5.9043581E+002, 3.4480197E+001, 6.6554056E+001, 6.0492478E+002, 2.0214268E+001, 2.0037715E+001, 2.0012060E+001, 2.2823672E+001, 2.2823672E+001, 2.0417554E+001, 2.0417554E+001, 2.0417554E+001, 2.3271128E+001, 2.3271128E+001, 2.3271128E+001, 2.0843112E+001, 2.0843112E+001
 6.0484782E+002, 3.5322595E+001, 6.7764800E+001, 6.1014507E+002, 2.0229322E+001, 2.0039192E+001, 2.0012657E+001, 2.3062583E+001, 2.3062583E+001, 2.0448358E+001, 2.0448358E+001, 2.0448358E+001, 2.3540660E+001, 2.3540660E+001, 2.3540660E+001, 2.0904564E+001, 2.0904564E+001
 6.1920439E+002, 3.6172774E+001, 6.8973701E+001, 6.1512211E+002, 2.0245981E+001, 2.0040790E+001, 2.0013265E+001, 2.3313671E+001, 2.3313671E+001, 2.0482050E+001, 2.0482050E+001, 2.0482050E+001, 2.3824494E+001, 2.3824494E+001, 2.3824494E+001, 2.0970494E+001, 2.0970494E+001
 6.3361640E+002, 3.7030141E+001, 7.0193759E+001, 6.1978760E+002, 2.0264595E+001, 2.0042524E+001, 2.0013890E+001, 2.3579159E+001, 2.3579159E+001, 2.0519121E+001, 2.0519121E+001, 2.0519121E+001, 2.4110214E+001, 2.4110214E+001, 2.4110214E+001, 2.1040269E+001, 2.1040269E+001
 6.4802841E+002, 3.7895649E+001, 7.1429947E+001, 6.2423166E+002, 2.0285068E+001, 2.0044412E+001, 2.0014534E+001, 2.3858862E+001, 2.3858862E+001, 2.0559731E+001, 2.0559731E+001, 2.0559731E+001, 2.4403149E+001, 2.4403149E+001, 2.4403149E+001, 2.1115312E+001, 2.1115312E+001
 6.6244041E+002, 3.8767574E+001, 7.2682328E+001, 6.2849580E+002, 2.0307343E+001, 2.0046463E+001, 2.0015200E+001, 2.4149181E+001, 2.4149181E+001, 2.0603918E+001, 2.0603918E+001, 2.0603918E+001, 2.4704997E+001, 2.4704997E+001, 2.4704997E+001, 2.1196716E+001, 2.1196716E+001
 6.7685242E+002, 3.9644933E+001, 7.3952277E+001, 6.3254148E+002, 2.0331404E+001, 2.0048693E+001, 2.0015890E+001, 2.4451604E+001, 2.4451604E+001, 2.0651671E+001, 2.0651671E+001, 2.0651671E+001, 2.5018063E+001, 2.5018063E+001, 2.5018063E+001, 2.1283931E+001, 2.1283931E+001
 6.9120899E+002, 4.0527962E+001, 7.5236156E+001, 6.3636527E+002, 2.0357648E+001, 2.0051114E+001, 2.0016606E+001, 2.4763969E+001, 2.4763969E+001, 2.0703453E+001, 2.0703453E+001, 2.0703453E+001, 2.5350380E+001, 2.5350380E+001, 2.5350380E+001, 2.1379477E+001, 2.1379477E+001
 7.0562100E+002, 4.1413434E+001, 7.6534555E+001, 6.4007325E+002, 2.0385241E+001, 2.0053748E+001, 2.0017354E+001, 2.5086953E+001, 2.5086953E+001, 2.0759459E+001, 2.0759459E+001, 2.0759459E+001, 2.5687133E+001, 2.5687133E+001, 2.5687133E+001, 2.1479596E+001, 2.1479596E+001
 7.2003301E+002, 4.2306288E+001, 7.7848351E+001, 6.4370927E+002, 2.0413602E+001, 2.0056618E+001, 2.0018140E+001, 2.5421048E+001, 2.5421048E+001, 2.0819508E+001, 2.0819508E+001, 2.0819508E+001, 2.6042686E+001, 2.6042686E+001, 2.6042686E+001, 2.1581935E+001, 2.1581935E+001
 7.3444501E+002, 4.3202294E+001, 7.9173520E+001, 6.4723398E+002, 2.0444930E+001, 2.0059739E+001, 2.0018965E+001, 2.5765457E+001, 2.5765457E+001, 2.0884646E+001, 2.0884646E+001, 2.0884646E+001, 2.6387247E+001, 2.6387247E+001, 2.6387247E+001, 2.1693147E+001, 2.1693147E+001
 7.4880159E+002, 4.4107689E+001, 8.0506056E+001, 6.5058673E+002, 2.0476776E+001, 2.0063120E+001, 2.0019834E+001, 2.6120310E+001, 2.6120310E+001, 2.0954022E+001, 2.0954022E+001, 2.0954022E+001, 2.6746371E+001, 2.6746371E+001, 2.6746371E+001, 2.1808191E+001, 2.1808191E+001
 7.6321360E+002, 4.5011160E+001, 8.1847828E+001, 6.5387567E+002, 2.0509808E+001, 2.0066786E+001, 2.0020753E+001, 2.6484258E+001, 2.6484258E+001, 2.1026830E+001, 2.1026830E+001, 2.1026830E+001, 2.7128229E+001, 2.7128229E+001, 2.7128229E+001, 2.1922932E+001, 2.1922932E+001
 7.7762560E+002, 4.5920800E+001, 8.3203621E+001, 6.5712478E+002, 2.0545993E+001, 2.0070759E+001, 2.0021729E+001, 2.6858241E+001, 2.6858241E+001, 2.1105353E+001, 2.1105353E+001, 2.1105353E+001, 2.7517585E+001, 2.7517585E+001, 2.7517585E+001, 2.2040000E+001, 2.2040000E+001
 7.9203761E+002, 4.6841836E+001, 8.4575002E+001, 6.6031967E+002, 2.0583375E+001, 2.0075049E+001, 2.0022766E+001, 2.7237984E+001, 2.7237984E+001, 2.1186781E+001, 2.1186781E+001, 2.1186781E+001, 2.7904811E+001, 2.7904811E+001, 2.7904811E+001, 2.2163218E+001, 2.2163218E+001
 8.0644962E+002, 4.7768701E+001, 8.5967988E+001, 6.6339907E+002, 2.0622407E+001, 2.0079674E+001, 2.0023871E+001, 2.7623706E+001, 2.7623706E+001, 2.1271628E+001, 2.1271628E+001, 2.1271628E+001, 2.8302015E+001, 2.8302015E+001, 2.8302015E+001, 2.2300315E+001, 2.2300315E+001
 8.2080619E+002, 4.8696661E+001, 8.7391364E+001, 6.6643862E+002, 2.0662152E+001, 2.0084640E+001, 2.0025048E+001, 2.8023688E+001, 2.8023688E+001, 2.1361336E+001, 2.1361336E+001, 2.1361336E+001, 2.8718847E+001, 2.8718847E+001, 2.8718847E+001, 2.2439482E+001, 2.2439482E+001
 8.3521820E+002, 4.9632819E+001, 8.8872953E+001, 6.6948118E+002, 2.0702629E+001, 2.0089972E+001, 2.0026304E+001, 2.8432502E+001, 2.8432502E+001, 2.1453293E+001, 2.1453293E+001, 2.1453293E+001, 2.9163823E+001, 2.9163823E+001, 2.9163823E+001, 2.2583846E+001, 2.2583846E+001
 8.4963020E+002, 5.0573963E+001, 9.0491377E+001, 6.7255674E+002, 2.0746716E+001, 2.0095694E+001, 2.0027650E+001, 2.8853042E+001, 2.8853042E+001, 2.1551575E+001, 2.1551575E+001, 2.1551575E+001, 2.9616959E+001, 2.9616959E+001, 2.9616959E+001, 2.2737368E+001, 2.2737368E+001
 8.6404221E+002, 5.1523229E+001, 9.2314251E+001, 6.7565468E+002, 2.0791962E+001, 2.0101811E+001, 2.0029091E+001, 2.9281685E+001, 2.9281685E+001, 2.1653368E+001, 2.1653368E+001, 2.1653368E+001, 3.0077790E+001, 3.0077790E+001, 3.0077790E+001, 2.2895149E+001, 2.2895149E+001
 8.7845422E+002, 5.2481465E+001, 9.4370530E+001, 6.7886179E+002, 2.0838342E+001, 2.0108336E+001, 2.0030633E+001, 2.9718051E+001, 2.9718051E+001, 2.1759276E+001, 2.1759276E+001, 2.1759276E+001, 3.0564042E+001, 3.0564042E+001, 3.0564042E+001, 2.3060150E+001, 2.3060150E+001
 8.9281079E+002, 5.3450318E+001, 9.6694938E+001, 6.8217620E+002, 2.0885867E+001, 2.0115270E+001, 2.0032282E+001, 3.0165541E+001, 3.0165541E+001, 2.1871632E+001, 2.1871632E+001, 2.1871632E+001, 3.1035194E+001, 3.1035194E+001, 3.1035194E+001, 2.3227896E+001, 2.3227896E+001
 9.0722280E+002, 5.4430233E+001, 9.9273108E+001, 6.8552606E+002, 2.0937195E+001, 2.0122635E+001, 2.0034046E+001, 3.0619746E+001, 3.0619746E+001, 2.1988359E+001, 2.1988359E+001, 2.1988359E+001, 3.1513405E+001, 3.1513405E+001, 3.1513405E+001, 2.3405953E+001, 2.3405953E+001
 9.2163481E+002, 5.5433001E+001, 1.0198744E+002, 6.8880273E+002, 2.0990680E+001, 2.0130462E+001, 2.0035939E+001, 3.1083783E+001, 3.1083783E+001, 2.2110905E+001, 2.2110905E+001, 2.2110905E+001, 3.2020807E+001, 3.2020807E+001, 3.2020807E+001, 2.3585572E+001, 2.3585572E+001
