TimeStamp,Time in Sec,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial,Stud2_Axial,Stud3_Axial,Stud4_Axial,Stud2_Top,Stud2_Mid,Stud2_Bottom,Stud3_Top,Stud3_Mid,Stud3_Bottom
45:21.9,0.99,-48.444958,15.56536501,3.489166,4.090106,4.912731,5.306761,1.109986,1.730648,1.868598,1.129689,1.75368,1.85878
45:22.9,1.00,-49.868797,16.02284448,3.512153,4.132796,4.955422,5.359303,1.119838,1.75692,1.914574,1.139541,1.756965,1.888337
45:23.9,1.02,-50.23695,16.14113204,3.53432,4.1525,4.980052,5.379007,1.123122,1.763488,1.94413,1.132973,1.756965,1.911325
45:24.9,1.04,-50.653221,16.27487991,3.554844,4.186981,5.017817,5.411846,1.159246,1.822599,1.996674,1.167455,1.812793,1.957302
45:25.9,1.05,-52.17815,16.7648396,3.571264,4.226388,5.068717,5.456999,1.234778,1.98023,2.07549,1.25448,1.970428,2.019699
45:26.9,1.07,-52.064701,16.72838843,3.586863,4.22803,5.072001,5.462746,1.241346,1.98023,2.082059,1.249554,1.967144,2.019699
45:27.9,1.09,-51.890114,16.67229363,3.581116,4.226388,5.063792,5.477523,1.238062,1.976946,2.078775,1.25448,1.96386,2.019699
45:28.9,1.10,-51.761215,16.63087838,3.578653,4.227209,5.063792,5.489017,1.241346,1.98023,2.078775,1.251196,1.96386,2.016415
45:29.9,1.12,-51.70052,16.61137708,3.579474,4.22803,5.070359,5.47424,1.238062,1.983513,2.082059,1.241344,1.967144,2.016415
45:30.9,1.14,-51.580669,16.57286895,3.579474,4.229672,5.070359,5.480807,1.238062,1.983513,2.078775,1.251196,1.96386,2.016415
45:31.9,1.15,-51.511364,16.55060125,3.574548,4.22803,5.067075,5.488196,1.238062,1.98023,2.078775,1.251196,1.96386,2.019699
45:32.9,1.17,-51.44162,16.52819251,3.572906,4.226388,5.070359,5.479166,1.239704,1.978588,2.07549,1.251196,1.967144,2.019699
45:33.9,1.19,-51.378273,16.50783911,3.579474,4.22803,5.072001,5.486554,1.241346,1.98023,2.078775,1.264332,1.967144,2.016415
45:34.9,1.20,-51.320667,16.48933031,3.581116,4.22803,5.070359,5.492301,1.238062,1.98023,2.085343,1.251196,1.967144,2.016415
45:35.9,1.22,-51.273434,16.47415434,3.575369,4.226388,5.070359,5.478344,1.238062,1.983513,2.078775,1.247912,1.96386,2.019699
