TimeStamp,,Kyowa PG 500 KUM _Load in bar_(bar),Stud1_Axial,Stud2_Axial,Stud3_Axial,Stud4_Axial,Stud2_Top,Stud2_Mid,Stud2_Bottom,Stud3_Top,Stud3_Mid,Stud3_Bottom,Load in kN
28:56.3,2.12,-1.461361,1.528664,2.269188,1.724082,1.169078,-0.3481,-0.535281,-0.354669,-0.37765,-0.817713,-0.850543,6.895535289
28:57.3,2.14,-1.461361,1.576281,2.242917,1.581229,1.141164,-0.3481,-0.509009,-0.371089,-0.466316,-0.827564,-0.817704,6.895535289
28:58.3,2.16,-0.439887,1.438357,2.201868,1.742144,1.129671,-0.334964,-0.523787,-0.316903,-0.481094,-0.692921,-0.850543,6.567335693
28:59.3,2.17,-0.931201,1.489257,2.228139,1.624742,1.123103,-0.33989,-0.509009,-0.380941,-0.407205,-0.921158,-0.862037,6.725194881
29:00.3,2.19,-1.047077,1.462986,2.251948,1.710125,1.128029,-0.334964,-0.528713,-0.387508,-0.395712,-0.788157,-0.873531,6.76242584
29:01.3,2.21,-1.098724,1.464628,2.207615,0.959738,1.119819,-0.341532,-0.545133,-0.384225,-0.431835,-0.755317,-0.779938,6.779020021
29:02.3,2.22,-1.123665,1.467912,2.254411,1.635415,1.16251,-0.341532,-0.531997,-0.384225,-0.420341,-0.775021,-0.758592,6.787033565
29:03.3,2.24,-1.155448,1.471196,2.215004,1.436735,1.12064,-0.3481,-0.536923,-0.387508,-0.423625,-0.820997,-0.876815,6.797245442
29:04.3,2.26,-1.188114,1.471196,2.231423,1.783194,1.103399,-0.243013,-0.525429,-0.394076,-0.423625,-0.807861,-0.784864,6.807741028
29:05.3,2.27,-1.219235,1.47448,2.224855,1.591081,1.105041,-0.334964,-0.548417,-0.380941,-0.426909,-0.814429,-0.837407,6.817740206
29:06.3,2.29,-1.241086,1.479406,2.229781,1.645267,1.128029,-0.338248,-0.47617,-0.384225,-0.433477,-0.834132,-0.870247,6.824760932
29:07.3,2.31,-1.266469,1.46627,2.221571,1.61489,1.124745,-0.344816,-0.589466,-0.400644,-0.430193,-0.817713,-0.843975,6.83291649
29:08.3,2.32,-1.272428,1.461344,2.233065,1.66415,1.123103,-0.3481,-0.477812,-0.400644,-0.407205,-0.822639,-0.883382,6.834831116
29:09.3,2.34,-1.300238,1.479406,2.221571,1.599291,1.126387,-0.338248,-0.579614,-0.357953,-0.371082,-0.834132,-0.857111,6.843766469
29:10.4,2.36,-1.310612,1.523739,2.239633,1.601754,1.123103,-0.341532,-0.512293,-0.407212,-0.444971,-0.843984,-0.870247,6.847099636
29:11.4,2.37,-1.328931,1.454776,2.198584,1.654298,1.128029,-0.334964,-0.523787,-0.367805,-0.413773,-0.737255,-0.843975,6.85298553
29:12.4,2.39,-1.345926,1.484331,2.264262,1.623921,1.119819,-0.341532,-0.512293,-0.390792,-0.472884,-0.883392,-0.788148,6.858446024
29:13.4,2.41,-1.357624,1.47448,2.242917,1.835737,1.124745,-0.328396,-0.528713,-0.390792,-0.423625,-0.722477,-1.098481,6.862204591
29:14.4,2.42,-1.37793,1.472838,2.231423,1.802897,1.121461,-0.334964,-0.515577,-0.387508,-0.423625,-0.863688,-0.801284,6.868728909
29:15.4,2.44,-1.373737,1.469554,2.246201,1.646909,1.208485,-0.341532,-0.548417,-0.380941,-0.426909,-0.817713,-0.988469,6.867381698
29:16.4,2.46,-1.39934,1.471196,2.223213,1.648551,1.108325,-0.33168,-0.486022,-0.384225,-0.426909,-0.819355,-0.866963,6.875607942
29:17.4,2.47,-1.407947,1.464628,2.226497,1.729829,1.14609,-0.285704,-0.548417,-0.390792,-0.421983,-0.802935,-0.857111,6.878373371
29:18.4,2.49,-1.411258,1.467912,2.223213,1.63131,1.121461,-0.328396,-0.627231,-0.380941,-0.40228,-0.816071,-0.843975,6.879437195
29:19.4,2.51,-1.421853,1.476122,2.229781,1.671538,1.129671,-0.295556,-0.397356,-0.354669,-0.433477,-0.817713,-0.853827,6.882841369
29:20.4,2.52,-1.432447,1.477764,2.221571,1.61489,1.126387,-0.33168,-0.5008,-0.377657,-0.436761,-0.807861,-0.857111,6.886245221
29:21.4,2.54,-1.448118,1.438357,2.231423,1.655119,1.121461,-0.341532,-0.541849,-0.403928,-0.505723,-0.794725,-0.853827,6.891280313
29:22.4,2.56,-1.455622,1.45806,2.226497,1.612427,1.121461,-0.338248,-0.522145,-0.361237,-0.420341,-0.827564,-0.860395,6.893691349
29:23.4,2.57,-1.457388,1.497467,2.232244,1.612427,1.123103,-0.338248,-0.513935,-0.371089,-0.423625,-0.765169,-0.901444,6.894258764
29:24.4,2.59,-1.464671,1.446566,2.199405,1.545106,1.131312,-0.334964,-0.533639,-0.387508,-0.367799,-0.771737,-0.817704,6.896598792
29:25.4,2.61,-2.20098,1.500751,2.21172,1.545927,1.124745,-0.344816,-0.533639,-0.371089,-0.407205,-0.870256,-0.77337,7.133174874
29:26.4,2.62,-4.181024,1.52538,2.177238,1.965454,1.101757,-0.328396,-0.486022,-0.331681,-0.417057,-0.798009,-0.735605,7.769363011
29:27.4,2.64,-5.071612,1.581207,2.251127,1.487636,1.131312,-0.341532,-0.520503,-0.338249,-0.421983,-0.781589,-0.894876,8.055508936
29:28.4,2.66,-5.920045,1.618972,2.269188,1.599291,1.16251,-0.33168,-0.509009,-0.334965,-0.426909,-0.794725,-0.817704,8.328110459
29:29.4,2.68,-6.017822,1.640318,2.274114,1.52376,1.159226,-0.436767,-0.423627,-0.328397,-0.433477,-0.804577,-0.827555,8.359526209
29:30.4,2.69,-7.173933,1.705996,2.308595,1.732292,1.231472,-0.308692,-0.541849,-0.331681,-0.426909,-0.796367,-0.837407,8.730984673
29:31.4,2.71,-8.245509,1.756076,2.331583,1.720798,1.279089,-0.374371,-0.55991,-0.357953,-0.420341,-0.801293,-0.842333,9.075282042
29:32.4,2.73,-8.746755,1.768391,2.352928,1.778268,1.282373,-0.361235,-0.331677,-0.295557,-0.384218,-0.804577,-0.873531,9.236332382
