TimeStamp,Time in Sec,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial,Stud2_Axial,Stud3_Axial,Stud4_Axial,Stud2_Top,Stud2_Mid,Stud2_Bottom,Stud3_Top,Stud3_Mid,Stud3_Bottom,Stud1_Mid,Stud4_Mid
41:01.8,2.35,-87.664429,28.16658104,6.352794,5.784627,5.61307,5.658195,0.817709,1.25776,1.855458,-0.807845,1.420332,2.374319,-0.010401,-0.003467
41:02.8,2.37,-87.822678,28.21742644,6.367571,5.809256,5.631132,5.676257,0.830845,1.287316,1.904718,-0.86203,1.453172,2.394023,-0.041605,-0.017333
41:03.8,2.38,-89.262192,28.67994229,6.433251,5.891355,5.680391,5.73701,0.906376,1.375983,2.022942,-0.873524,1.528704,2.476123,-0.076276,0.058931
41:04.8,2.4,-89.217163,28.66547447,6.461986,5.915984,5.698453,5.771491,0.939216,1.408823,2.042646,-0.893228,1.55826,2.492543,-0.052007,0
41:05.8,2.42,-90.032707,28.92750876,6.479226,5.932404,5.711589,5.78791,0.95892,1.435094,2.07877,-0.921141,1.584532,2.522099,-0.045072,0.062397
41:06.8,2.43,-90.092079,28.94658498,6.497288,5.948002,5.72965,5.80433,0.991759,1.438378,2.075486,-0.930993,1.58289,2.522099,-0.017336,-0.006933
41:07.8,2.45,-90.092079,28.94658498,6.51535,5.958675,5.742786,5.815824,1.018031,1.454798,2.082054,-0.888302,1.594384,2.525383,-0.003467,0.013866
41:08.8,2.47,-90.574348,29.10153801,6.546547,5.983305,5.761669,5.828959,1.021315,1.536897,2.09519,-1.003239,1.676484,2.577926,-0.038138,0.031199
41:09.8,2.49,-90.968765,29.22826419,6.561326,5.999724,5.788762,5.858515,1.034451,1.536897,2.098474,-0.911289,1.676484,2.58121,-0.02427,0.013866
41:10.8,2.5,-91.153503,29.28762051,6.587597,6.016144,5.801898,5.876576,1.044303,1.535255,2.131314,-0.983535,1.683052,2.59763,-0.104013,0.051998
41:11.8,2.52,-91.908577,29.53022579,6.604017,6.03749,5.816676,5.892996,1.060723,1.546749,2.157586,-1.047572,1.679768,2.61405,-0.013868,0.048531
41:12.8,2.54,-92.232147,29.63418883,6.622079,6.053909,5.834737,5.911058,1.070575,1.550033,2.157586,-0.950696,1.676484,2.61405,-0.02427,0.041598
41:13.8,2.55,-92.898926,29.84842492,6.659844,6.077718,5.856083,5.943897,1.096846,1.622281,2.174006,-1.082053,1.73888,2.653458,-0.020803,0.006933
41:14.8,2.57,-93.266197,29.9664291,6.677906,6.101526,5.880713,5.968527,1.136254,1.6387,2.187142,-1.105041,1.7553,2.66331,-0.031204,0.0104
41:15.8,2.59,-93.483383,30.03621096,6.687758,6.119588,5.89549,5.984946,1.152674,1.6387,2.183858,-1.078769,1.761868,2.669878,-0.052007,0
41:16.8,2.6,-93.722641,30.11308455,6.715672,6.134366,5.908626,5.999724,1.16581,1.648552,2.236402,-1.155941,1.768436,2.748693,-0.038138,0.006933
41:17.8,2.62,-93.647156,30.08883122,6.740302,6.158995,5.975947,6.044057,1.221637,1.799615,2.351342,-1.183855,1.939205,2.880053,-0.072809,0.062397
41:18.8,2.64,-94.286125,30.29413196,6.748511,6.172131,6.012071,6.057193,1.228205,1.802899,2.35791,-1.154299,1.942489,2.899757,0.013868,0.06933
41:19.8,2.65,-94.410393,30.33405927,6.776425,6.190193,6.021923,6.07197,1.234773,1.812751,2.35791,-1.290582,1.972045,2.919461,-0.010401,0.058931
41:20.8,2.67,-94.707253,30.42944039,6.794487,6.196761,6.0367,6.098242,1.320157,1.934258,2.453146,-1.38089,2.182221,3.008129,-0.006934,0.006933
41:21.8,2.69,-95.326805,30.62850245,6.819117,6.218106,6.056404,6.131082,1.330009,1.937542,2.449862,-1.295508,2.195358,3.008129,-0.003467,-0.006933
41:22.8,2.7,-95.284866,30.61502745,6.827326,6.231242,6.064614,6.139291,1.349712,1.934258,2.449862,-1.315212,2.18879,3.008129,-0.090145,0.020799
41:23.8,2.72,-95.414207,30.65658471,6.837178,6.241094,6.074466,6.154069,1.35628,1.930974,2.453146,-1.328347,2.192074,3.008129,-0.055474,0.020799
41:24.8,2.74,-95.991821,30.84217209,6.866734,6.262439,6.104022,6.18855,1.362848,1.940826,2.449862,-1.328347,2.195358,3.0344,-0.072809,0.083196
41:25.8,2.75,-96.448921,30.98903832,6.89629,6.285427,6.120441,6.20497,1.3727,1.937542,2.449862,-1.384174,2.192074,3.044252,-0.010401,0.034665
