Displacement in m,Displacement in mm,Load in N,Load in kN
0.014953,14.953000,29032.812500,29.032812
0.015009,15.008534,28955.726562,28.955727
0.015095,15.094806,28840.837891,28.840838
0.015128,15.127644,28797.939453,28.797939
0.015178,15.178328,28733.892578,28.733893
0.015259,15.259088,28638.388672,28.638389
0.015347,15.346721,28543.447266,28.543447
0.015444,15.444303,28449.064453,28.449064
0.015556,15.556493,28355.240234,28.355240
0.015690,15.690058,28261.982422,28.261982
0.015843,15.842596,28169.310547,28.169311
0.016009,16.009355,28077.275391,28.077275
0.016186,16.186344,27985.912109,27.985912
0.016370,16.370488,27895.269531,27.895270
0.016560,16.559817,27805.404297,27.805404
0.016754,16.753728,27716.367188,27.716367
0.016952,16.951663,27628.230469,27.628230
0.017154,17.153742,27541.013672,27.541014
0.017360,17.360000,27454.730469,27.454730
0.017571,17.570548,27369.398438,27.369398
0.017786,17.786052,27285.048828,27.285049
0.017840,17.840268,27264.082031,27.264082
0.017895,17.894860,27243.207031,27.243207
0.017978,17.978352,27212.072266,27.212072
0.018065,18.065464,27181.126953,27.181127
0.018159,18.159186,27150.369141,27.150369
0.018263,18.262604,27119.792969,27.119793
0.018378,18.377690,27089.392578,27.089393
0.018507,18.506898,27059.175781,27.059176
0.018651,18.651089,27029.140625,27.029141
0.018810,18.809699,26999.287109,26.999287
0.018982,18.981934,26969.609375,26.969609
0.019167,19.167293,26940.093750,26.940094
0.019365,19.365424,26910.750000,26.910750
0.019576,19.576078,26881.578125,26.881578
0.019799,19.799460,26852.574219,26.852574
0.020036,20.035580,26823.738281,26.823738
0.020285,20.284833,26795.064453,26.795064
0.020548,20.547710,26766.552734,26.766553
0.020825,20.825144,26738.199219,26.738199
0.021119,21.119276,26710.001953,26.710002
0.021433,21.433264,26681.957031,26.681957
0.021770,21.770151,26654.064453,26.654064
0.022133,22.132842,26626.328125,26.626328
0.022525,22.524519,26598.744141,26.598744
0.022950,22.950400,26571.310547,26.571311
0.023418,23.418071,26544.027344,26.544027
0.023538,23.538115,26537.238281,26.537238
0.023661,23.660949,26530.472656,26.530473
0.023787,23.786718,26523.728516,26.523729
0.023916,23.915621,26517.007812,26.517008
0.024048,24.047904,26510.310547,26.510311
0.024184,24.183825,26503.634766,26.503635
0.024324,24.323631,26496.982422,26.496982
0.024468,24.467550,26490.349609,26.490350
0.024616,24.615858,26483.742188,26.483742
0.024769,24.768783,26477.154297,26.477154
0.024926,24.926493,26470.589844,26.470590
0.025089,25.089236,26464.046875,26.464047
0.025257,25.257252,26457.525391,26.457525
0.025431,25.430907,26451.025391,26.451025
0.025610,25.610438,26444.546875,26.444547
0.025796,25.796074,26438.091797,26.438092
0.025988,25.988095,26431.656250,26.431656
0.026187,26.186757,26425.242188,26.425242
0.026392,26.392331,26418.849609,26.418850
0.026605,26.605103,26412.478516,26.412479
0.026825,26.825352,26406.126953,26.406127
0.027053,27.053323,26399.798828,26.399799
0.027289,27.289273,26393.490234,26.393490
0.027533,27.533473,26387.201172,26.387201
0.027786,27.786216,26380.933594,26.380934
0.028048,28.047731,26374.687500,26.374688
0.028318,28.318280,26368.460938,26.368461
0.028598,28.598141,26362.255859,26.362256
0.028888,28.887535,26356.070312,26.356070
0.029187,29.186593,26349.904297,26.349904
0.029495,29.495483,26343.757812,26.343758
0.029814,29.814364,26337.632812,26.337633
0.030143,30.143451,26331.527344,26.331527
0.030483,30.483022,26325.441406,26.325441
0.030833,30.833336,26319.376953,26.319377
0.031195,31.194678,26313.330078,26.313330
0.031567,31.567313,26307.302734,26.307303
0.031952,31.951524,26301.296875,26.301297
0.032347,32.347497,26295.308594,26.295309
0.032755,32.755211,26289.339844,26.289340
0.033175,33.174697,26283.394531,26.283395
0.033606,33.606023,26277.466797,26.277467
0.034049,34.049287,26271.560547,26.271561
0.034049,34.049287,26270.089844,26.270090
0.034161,34.160774,26271.560547,26.271561
0.034161,34.160774,26270.089844,26.270090
0.034273,34.272756,26268.625000,26.268625
0.034273,34.272756,26267.164062,26.267164
0.034385,34.385212,26268.625000,26.268625
0.034385,34.385212,26267.164062,26.267164
0.034498,34.498148,26265.707031,26.265707
0.034498,34.498148,26264.255859,26.264256
0.034612,34.611557,26265.707031,26.265707
0.034612,34.611557,26264.255859,26.264256
0.034725,34.725443,26262.806641,26.262807
