Displacement in m,Displacement in mm,Load in N,Load in kN
0.04337,43.370251,31533.64453,31.533645
0.043475,43.475356,31461.84961,31.46185
0.04358,43.580398,31390.53516,31.390535
0.043685,43.685403,31319.69922,31.319699
0.04379,43.790381,31249.33789,31.249338
0.043895,43.895345,31179.44727,31.179447
0.044,44.000328,31110.02344,31.110023
0.044105,44.10534,31041.06445,31.041064
0.04421,44.2104,30972.56836,30.972568
0.044316,44.315532,30904.5293,30.904529
0.044421,44.42076,30836.94531,30.836945
0.044526,44.526115,30769.8125,30.769813
0.044632,44.631619,30703.12695,30.703127
0.044737,44.737324,30636.88672,30.636887
0.044843,44.843256,30571.08984,30.57109
0.044949,44.94945,30505.72852,30.505729
0.045056,45.055956,30440.80469,30.440805
0.045163,45.162808,30376.31055,30.376311
0.04527,45.270041,30312.24414,30.312244
0.045378,45.377702,30248.60547,30.248605
0.045486,45.485847,30185.38672,30.185387
0.045594,45.594495,30122.58594,30.122586
0.045704,45.703683,30060.19922,30.060199
0.045813,45.813438,29998.22656,29.998227
0.045924,45.923784,29936.66016,29.93666
0.046035,46.034731,29875.5,29.8755
0.046146,46.146274,29814.74023,29.81474
0.046258,46.258416,29754.38086,29.754381
0.046371,46.371147,29694.41406,29.694414
0.046484,46.48447,29634.83984,29.63484
0.046598,46.598375,29575.65234,29.575652
0.046713,46.712846,29516.84961,29.51685
0.046828,46.827871,29458.42969,29.45843
0.046943,46.943441,29400.38672,29.400387
0.04706,47.059566,29342.7168,29.342717
0.047176,47.17622,29285.41797,29.285418
0.047293,47.293391,29228.48828,29.228488
0.047411,47.411088,29171.91992,29.17192
0.047529,47.529303,29115.71289,29.115713
0.047648,47.648028,29059.86328,29.059863
0.047767,47.767248,29004.36719,29.004367
0.047887,47.886956,28949.2207,28.949221
0.048007,48.007134,28894.42188,28.894422
0.048128,48.127774,28839.96484,28.839965
0.048249,48.248868,28785.8457,28.785846
0.04837,48.370399,28732.06445,28.732064
0.048492,48.492357,28678.61328,28.678613
0.048615,48.614737,28625.49219,28.625492
0.048738,48.737526,28572.69727,28.572697
0.048861,48.860703,28520.22461,28.520225
0.048984,48.984252,28468.06836,28.468068
0.049108,49.108166,28416.22852,28.416229
0.049232,49.232442,28364.69922,28.364699
0.049357,49.357064,28313.48047,28.31348
0.049482,49.482025,28262.56641,28.262566
0.049607,49.607314,28211.95508,28.211955
0.049733,49.732909,28161.64648,28.161646
0.049859,49.858812,28111.63477,28.111635
0.049985,49.985018,28061.92188,28.061922
0.050112,50.11151,28012.50195,28.012502
0.050238,50.238304,27963.37109,27.963371
0.050365,50.365381,27914.53125,27.914531
0.050493,50.492726,27865.97461,27.865975
0.05062,50.620336,27817.69727,27.817697
0.050748,50.748192,27769.70117,27.769701
0.050876,50.87629,27721.97656,27.721977
0.051005,51.004618,27674.52539,27.674525
0.051133,51.133167,27627.3418,27.627342
0.051262,51.261928,27580.42188,27.580422
0.051391,51.390894,27533.76367,27.533764
0.05152,51.520061,27487.36328,27.487363
0.051649,51.649421,27441.21875,27.441219
0.051779,51.778968,27395.32617,27.395326
0.051909,51.908694,27349.68359,27.349684
0.052039,52.038584,27304.28906,27.304289
0.052169,52.16863,27259.13672,27.259137
0.052299,52.298822,27214.22656,27.214227
0.052429,52.429162,27169.55469,27.169555
0.05256,52.559644,27125.12109,27.125121
0.05269,52.690256,27080.91992,27.08092
0.052821,52.820999,27036.95117,27.036951
0.052952,52.951869,26993.21289,26.993213
0.053083,53.082857,26949.70117,26.949701
0.053214,53.213958,26906.41406,26.906414
0.053345,53.34517,26863.35156,26.863352
0.053476,53.476486,26820.50977,26.82051
0.053608,53.607896,26777.88672,26.777887
0.053739,53.739402,26735.48242,26.735482
0.053871,53.871017,26693.29297,26.693293
0.054003,54.002736,26651.31836,26.651318
0.054135,54.134551,26609.55469,26.609555
0.054266,54.266479,26568.00391,26.568004
0.054399,54.398526,26526.66016,26.52666
0.054531,54.530695,26485.52539,26.485525
0.054663,54.663014,26444.5957,26.444596
0.054796,54.795519,26403.87109,26.403871
0.054928,54.928187,26363.35938,26.363359
0.055061,55.061102,26323.04883,26.323049
0.055194,55.194274,26282.9375,26.282937
0.055328,55.32774,26243.02539,26.243025
0.055462,55.461533,26203.31055,26.203311
0.055596,55.595681,26163.79492,26.163795
0.05573,55.730231,26124.47461,26.124475
0.055865,55.86531,26085.35156,26.085352
0.056001,56.001011,26046.42383,26.046424
0.056137,56.137439,26007.68945,26.007689
0.056275,56.274734,25969.15039,25.96915
0.056413,56.413118,25930.80273,25.930803
0.056553,56.552839,25892.64648,25.892646
0.056694,56.694165,25854.67969,25.85468
0.056838,56.837577,25816.90234,25.816902
0.056983,56.983411,25779.31445,25.779314
0.057132,57.13186,25741.91211,25.741912
0.057283,57.282865,25704.69531,25.704695
0.057436,57.436351,25667.66406,25.667664
0.057592,57.592191,25630.81641,25.630816
0.05775,57.750314,25594.1543,25.594154
