TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial-O,Stud1_Axial,Stud2_Axial-O,Stud2_Axial,Stud1_Top-O,Stud1_Top,Stud1_Mid-O,Stud1_Mid,Stud1_Bottom-O,Stud1_Bottom,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom
33:06.6,-31.682901,10.17971609,1.201922,1.203564,1.219973,1.218331,-0.177333,0.180617,-0.252862,0.256146,-0.295553,0.305405,0.144492,0.144492,0.190468,0.193752,-0.328393,0.318541
33:07.7,-31.570997,10.14376134,1.205206,1.206848,1.224899,1.223257,-0.183901,0.187185,-0.249578,0.252862,-0.285702,0.295554,0.134641,0.134641,0.193752,0.197036,-0.328393,0.318541
33:08.7,-32.686054,10.50202915,1.287305,1.288947,1.300429,1.298787,-0.197036,0.20032,-0.246294,0.249578,-0.29227,0.302122,0.108369,0.108369,0.174048,0.177332,-0.325109,0.315257
33:09.7,-33.510872,10.76704317,1.295515,1.297157,1.306997,1.305355,-0.193752,0.197036,-0.246294,0.249578,-0.285702,0.295554,0.098518,0.098518,0.154345,0.157629,-0.321825,0.311973
33:10.7,-33.374249,10.7231462,1.293873,1.295515,1.315207,1.313565,-0.20032,0.203604,-0.243011,0.246295,-0.29227,0.302122,0.095234,0.095234,0.151061,0.154345,-0.325109,0.315257
33:11.7,-33.532722,10.77406358,1.297157,1.298799,1.328342,1.3267,-0.187185,0.190469,-0.239727,0.243011,-0.29227,0.302122,0.095234,0.095234,0.141209,0.144493,-0.328393,0.318541
33:12.7,-34.32708,11.0292908,1.295515,1.297157,1.346404,1.344762,-0.183901,0.187185,-0.239727,0.243011,-0.285702,0.295554,0.078814,0.078814,0.137925,0.141209,-0.321825,0.311973
33:13.7,-34.32708,11.0292908,1.295515,1.297157,1.348046,1.346404,-0.190469,0.193753,-0.239727,0.243011,-0.29227,0.302122,0.07553,0.07553,0.128073,0.131357,-0.311973,0.302121
33:14.7,-34.381817,11.0468778,1.295515,1.297157,1.356255,1.354613,-0.190469,0.193753,-0.239727,0.243011,-0.29227,0.302122,0.07553,0.07553,0.121505,0.124789,-0.315257,0.305405
33:15.7,-34.708256,11.15176265,1.293873,1.295515,1.367749,1.366107,-0.20032,0.203604,-0.239727,0.243011,-0.29227,0.302122,0.068962,0.068962,0.121505,0.124789,-0.311973,0.302121
33:16.7,-34.67625,11.14147913,1.477774,1.479416,1.545081,1.543439,-0.190469,0.193753,-0.239727,0.243011,-0.285702,0.295554,-0.032839,0.032839,0.009852,0.013136,-0.262714,0.252862
