TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud2_Axial-O,Stud2_Axial,Stud3_Axial-O,Stud3_Axial,Stud4_Axial-O,Stud4_Axial,Stud5_Axial-O,Stud5_Axial,Stud3_Top-O,Stud3_Top,Stud4_Top-O,Stud4_Top,Stud3_Mid-O,Stud3_Mid,Stud4_Mid-O,Stud4_Mid,Stud3_Bottom-O,Stud3_Bottom,Stud4_Bottom-O,Stud4_Bottom,Stud1_Axial-O,Stud1_Axial,Stud6_Axial-O,Stud6_Axial,Stud1_Mid-O,Stud1_Mid,Stud2_Mid-O,Stud2_Mid,Stud5_Mid-O,Stud5_Mid,Stud6_Mid-O,Stud6_Mid
23:01.1,-121.070015,45.32579582,9.112966,9.04072,8.393745,8.3724,7.837904,8.076808,8.933922,8.917502,2.801219,2.755244,2.663317,2.853788,4.466198,4.50889,-4.346281,-3.651729,5.835686,5.78971,-6.395424,-6.633508,1.714816,1.665111,1.114798,1.100597,-0.003467,0.024272,0.024271,-0.017336,0.142133,0.128266,0.644742,0.617011
23:02.1,-100.107735,38.59061526,7.837142,7.764896,7.231225,7.20988,6.998857,7.237761,7.704085,7.687665,2.830775,2.7848,2.630477,2.820948,3.848811,3.891503,-3.748607,-3.054055,5.093498,5.047522,-5.636841,-5.874925,1.610082,1.560377,1.118348,1.104147,0.010402,0.038141,-0.020804,-0.062411,0.1248,0.110933,0.578882,0.551151
23:03.1,-49.874756,22.4507591,7.635999,7.563753,7.042398,7.021053,6.844512,7.083416,7.477493,7.461073,2.814355,2.76838,2.525389,2.71586,3.668192,3.710884,-3.513806,-2.819254,4.945717,4.899741,-5.439806,-5.67789,1.71304,1.663335,1.091721,1.07752,-0.027739,0,-0.006935,-0.048542,0.104,0.090133,0.589281,0.56155
23:04.1,-38.865883,18.91360821,7.538301,7.466055,6.945521,6.924176,6.643372,6.882276,7.377333,7.360913,2.75196,2.705985,2.403881,2.594352,3.533549,3.576241,-3.223178,-2.528626,4.843913,4.797937,-5.206649,-5.444733,1.693514,1.643809,1.121898,1.107697,-0.006935,0.020804,0,-0.041607,0.1248,0.110933,0.630877,0.603146
23:05.1,-38.680923,18.85418056,7.014508,6.942262,6.334707,6.313362,6.092492,6.331396,6.69099,6.67457,2.098451,2.052476,1.871874,2.062345,2.686285,2.728977,-2.523702,-1.82915,4.029477,3.983501,-4.500608,-4.738692,1.539075,1.48937,1.132549,1.118348,0,0.027739,0,-0.041607,0.1664,0.152533,0.623944,0.596213
23:06.1,-19.087299,12.55874917,6.817471,6.745225,6.086769,6.065424,5.852765,6.091669,6.449621,6.433201,1.756919,1.710944,1.638711,1.829182,2.252801,2.295493,-2.22158,-1.527028,3.612407,3.566431,-4.19192,-4.430004,1.750319,1.700614,1.111248,1.097047,-0.01387,0.013869,0.027738,-0.013869,0.149066,0.135199,0.637809,0.610078
23:07.1,-14.693948,11.14716549,6.714025,6.641779,6.027658,6.006313,5.806789,6.045693,6.393794,6.377374,1.671536,1.625561,1.573031,1.763502,2.088602,2.131294,-2.152617,-1.458065,3.438354,3.392378,-4.086835,-4.324919,1.549726,1.500021,1.130774,1.116573,-0.017337,0.010402,0.006935,-0.034672,0.1456,0.131733,0.620478,0.592747
23:08.1,-11.876287,10.24185101,6.695964,6.623718,6.009596,5.988251,5.771487,6.010391,6.379016,6.362596,1.648548,1.602573,1.550043,1.740514,2.059047,2.101739,-2.12142,-1.426868,3.395662,3.349686,-4.080267,-4.318351,1.697064,1.647359,1.150301,1.1361,-0.01387,0.013869,0,-0.041607,0.152533,0.138666,0.672473,0.644742
23:09.1,-11.521155,10.1277471,6.686112,6.613866,6.003028,5.981683,5.760815,5.999719,6.370806,6.354386,1.628844,1.582869,1.536907,1.727378,2.049195,2.091887,-2.126346,-1.431794,3.379242,3.333266,-4.053996,-4.29208,1.936709,1.887004,1.150301,1.1361,-0.003467,0.024272,0.020804,-0.020803,0.159466,0.145599,0.724468,0.696737
23:10.1,-11.315889,10.06179514,6.67626,6.604014,5.998102,5.976757,5.747679,5.986583,6.363417,6.346997,1.622276,1.576301,1.527055,1.717526,2.042627,2.085319,-2.160827,-1.466275,3.372674,3.326698,-4.050712,-4.288796,1.70594,1.656235,1.164502,1.150301,-0.048544,-0.020805,0.010402,-0.031205,0.152533,0.138666,0.682872,0.655141
