TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud2_Axial-O,Stud2_Axial,Stud3_Axial-O,Stud3_Axial,Stud4_Axial-O,Stud4_Axial,Stud5_Axial-O,Stud5_Axial,Stud3_Top-O,Stud3_Top,Stud4_Top-O,Stud4_Top,Stud3_Mid-O,Stud3_Mid,Stud4_Mid-O,Stud4_Mid,Stud3_Bottom-O,Stud3_Bottom,Stud4_Bottom-O,Stud4_Bottom,Stud1_Axial-O,Stud1_Axial,Stud6_Axial-O,Stud6_Axial,Stud1_Mid-O,Stud1_Mid,Stud2_Mid-O,Stud2_Mid,Stud5_Mid-O,Stud5_Mid,Stud6_Mid-O,Stud6_Mid
,,3.99,,0.879121941,,0.607493199,,0.575201834,,0.663765844,,0.04151474,,0.057198579,,0.0249089,,0.173438333,,0.217724692,,0.206648888,,0.020446665,,0.002992147,,,,,,,,
,,4.18,,0.92098489,,0.636421446,,0.602592398,,0.695373741,,0.043491632,,0.059922321,,0.026095038,,0.181697301,,0.228092535,,0.216489312,,0.021420316,,0.00313463,,,,,,,,
,,4.37,,0.96284784,,0.665349694,,0.629982961,,0.726981639,,0.045468524,,0.062646063,,0.027281176,,0.189956269,,0.238460377,,0.226329735,,0.022393967,,0.003277113,,,,,,,,
,,4.56,,1.004710789,,0.694277941,,0.657373525,,0.758589536,,0.047445417,,0.065369804,,0.028467314,,0.198215237,,0.24882822,,0.236170158,,0.023367617,,0.003419597,,,,,,,,
,,4.75,,1.046573739,,0.723206189,,0.684764088,,0.790197433,,0.049422309,,0.068093546,,0.029653452,,0.206474206,,0.259196062,,0.246010581,,0.024341268,,0.00356208,,,,,,,,
,,4.94,,1.088436689,,0.752134436,,0.712154652,,0.821805331,,0.051399201,,0.070817288,,0.03083959,,0.214733174,,0.269563905,,0.255851005,,0.025314919,,0.003704563,,,,,,,,
,,5.13,,1.130299638,,0.781062684,,0.739545215,,0.853413228,,0.053376094,,0.07354103,,0.032025729,,0.222992142,,0.279931747,,0.265691428,,0.02628857,,0.003847046,,,,,,,,
,,5.32,,1.172162588,,0.809990931,,0.766935779,,0.885021125,,0.055352986,,0.076264772,,0.033211867,,0.23125111,,0.29029959,,0.275531851,,0.02726222,,0.003989529,,,,,,,,
,,5.51,,1.214025537,,0.838919179,,0.794326342,,0.916629023,,0.057329879,,0.078988514,,0.034398005,,0.239510079,,0.300667432,,0.285372274,,0.028235871,,0.004132012,,,,,,,,
,,5.7,,1.255888487,,0.867847426,,0.821716906,,0.94823692,,0.059306771,,0.081712256,,0.035584143,,0.247769047,,0.311035275,,0.295212698,,0.029209522,,0.004274496,,,,,,,,
,,5.89,,1.297751436,,0.896775674,,0.849107469,,0.979844817,,0.061283663,,0.084435997,,0.036770281,,0.256028015,,0.321403117,,0.305053121,,0.030183172,,0.004416979,,,,,,,,
,,6.08,,1.339614386,,0.925703922,,0.876498033,,1.011452715,,0.063260556,,0.087159739,,0.037956419,,0.264286983,,0.331770959,,0.314893544,,0.031156823,,0.004559462,,,,,,,,
,,6.27,,1.381477336,,0.954632169,,0.903888596,,1.043060612,,0.065237448,,0.089883481,,0.039142557,,0.272545952,,0.342138802,,0.324733968,,0.032130474,,0.004701945,,,,,,,,
,,6.46,,1.423340285,,0.983560417,,0.93127916,,1.074668509,,0.06721434,,0.092607223,,0.040328695,,0.28080492,,0.352506644,,0.334574391,,0.033104125,,0.004844428,,,,,,,,
,,6.65,,1.465203235,,1.012488664,,0.958669723,,1.106276407,,0.069191233,,0.095330965,,0.041514833,,0.289063888,,0.362874487,,0.344414814,,0.034077775,,0.004986912,,,,,,,,
,,6.84,,1.507066184,,1.041416912,,0.986060287,,1.137884304,,0.071168125,,0.098054707,,0.042700971,,0.297322856,,0.373242329,,0.354255237,,0.035051426,,0.005129395,,,,,,,,
,,7.03,,1.548929134,,1.070345159,,1.01345085,,1.169492201,,0.073145017,,0.100778448,,0.043887109,,0.305581824,,0.383610172,,0.364095661,,0.036025077,,0.005271878,,,,,,,,
,,7.22,,1.590792083,,1.099273407,,1.040841414,,1.201100099,,0.07512191,,0.10350219,,0.045073248,,0.313840793,,0.393978014,,0.373936084,,0.036998728,,0.005414361,,,,,,,,
,,7.41,,1.632655033,,1.128201654,,1.068231978,,1.232707996,,0.077098802,,0.106225932,,0.046259386,,0.322099761,,0.404345857,,0.383776507,,0.037972378,,0.005556844,,,,,,,,
,,7.6,,1.674517982,,1.157129902,,1.095622541,,1.264315893,,0.079075695,,0.108949674,,0.047445524,,0.330358729,,0.414713699,,0.39361693,,0.038946029,,0.005699328,,,,,,,,
,,7.79,,1.716380932,,1.186058149,,1.123013105,,1.295923791,,0.081052587,,0.111673416,,0.048631662,,0.338617697,,0.425081542,,0.403457354,,0.03991968,,0.005841811,,,,,,,,
,,7.98,,1.758243882,,1.214986397,,1.150403668,,1.327531688,,0.083029479,,0.114397158,,0.0498178,,0.346876666,,0.435449384,,0.413297777,,0.04089333,,0.005984294,,,,,,,,
,,8.17,,1.800106831,,1.243914645,,1.177794232,,1.359139585,,0.085006372,,0.1171209,,0.051003938,,0.355135634,,0.445817227,,0.4231382,,0.041866981,,0.006126777,,,,,,,,
,,8.36,,1.841969781,,1.272842892,,1.205184795,,1.390747483,,0.086983264,,0.119844641,,0.052190076,,0.363394602,,0.456185069,,0.432978623,,0.042840632,,0.00626926,,,,,,,,
,,8.55,,1.88383273,,1.30177114,,1.232575359,,1.42235538,,0.088960156,,0.122568383,,0.053376214,,0.37165357,,0.466552912,,0.442819047,,0.043814283,,0.006411743,,,,,,,,
,,8.74,,1.92569568,,1.330699387,,1.259965922,,1.453963277,,0.090937049,,0.125292125,,0.054562352,,0.379912539,,0.476920754,,0.45265947,,0.044787933,,0.006554227,,,,,,,,
,,8.93,,1.967558629,,1.359627635,,1.287356486,,1.485571175,,0.092913941,,0.128015867,,0.05574849,,0.388171507,,0.487288597,,0.462499893,,0.045761584,,0.00669671,,,,,,,,
,,9.12,,2.009421579,,1.388555882,,1.314747049,,1.517179072,,0.094890833,,0.130739609,,0.056934628,,0.396430475,,0.497656439,,0.472340316,,0.046735235,,0.006839193,,,,,,,,
,,9.31,,2.051284528,,1.41748413,,1.342137613,,1.548786969,,0.096867726,,0.133463351,,0.058120767,,0.404689443,,0.508024282,,0.48218074,,0.047708886,,0.006981676,,,,,,,,
,,9.5,,2.093147478,,1.446412377,,1.369528176,,1.580394867,,0.098844618,,0.136187093,,0.059306905,,0.412948411,,0.518392124,,0.492021163,,0.048682536,,0.007124159,,,,,,,,
,,9.69,,2.135010428,,1.475340625,,1.39691874,,1.612002764,,0.10082151,,0.138910834,,0.060493043,,0.42120738,,0.528759967,,0.501861586,,0.049656187,,0.007266643,,,,,,,,
,,9.88,,2.176873377,,1.504268873,,1.424309303,,1.643610661,,0.102798403,,0.141634576,,0.061679181,,0.429466348,,0.539127809,,0.511702009,,0.050629838,,0.007409126,,,,,,,,
,,10.07,,2.218736327,,1.53319712,,1.451699867,,1.675218559,,0.104775295,,0.144358318,,0.062865319,,0.437725316,,0.549495652,,0.521542433,,0.051603488,,0.007551609,,,,,,,,
