TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial-O,Stud1_Axial,Stud2_Axial-O,Stud2_Axial,Stud1_Top-O,Stud1_Top,Stud1_Mid-O,Stud1_Mid,Stud1_Bottom-O,Stud1_Bottom,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom
29:30.9,-0.002649,0.000851124,-0.004926,-0.003284,0.001642,0,0,-0.003284,-0.003284,-0.006568,0.009852,0,0,0,0.003284,0.006568,-0.013136,-0.003284
29:31.9,0.000662,-0.000212701,0,0.001642,0.001642,0,-0.006568,-0.009852,0,-0.003284,0.009852,0,-0.003284,-0.003284,-0.003284,0,-0.003284,0.006568
29:32.9,0,0,0,0.001642,0.003284,0.001642,0.003284,0,0,-0.003284,0.003284,-0.006568,0,0,-0.003284,0,-0.006568,0.003284
29:33.9,-0.017216,0.005531501,-0.003284,-0.001642,0.003284,0.001642,0.019704,0.01642,0.003284,0,0.003284,-0.006568,0,0,-0.006568,-0.003284,-0.003284,0.006568
29:34.9,-0.00927,0.002978451,-0.003284,-0.001642,0.003284,0.001642,0.013136,0.009852,0,-0.003284,0.003284,-0.006568,0,0,0,0.003284,-0.009852,0
29:35.9,-0.00309,0.000992817,-0.003284,-0.001642,0.001642,0,0.013136,0.009852,-0.003284,-0.006568,0.009852,0,0.003284,0.003284,-0.006568,-0.003284,-0.009852,0
29:36.9,-0.009932,0.003191152,-0.004926,-0.003284,0.004926,0.003284,0.029555,0.026271,-0.006568,-0.009852,-0.003284,-0.013136,0.003284,0.003284,-0.009852,-0.006568,-0.013136,-0.003284
29:37.9,-0.010153,0.003262159,0.003284,0.004926,0.00821,0.006568,0.039407,0.036123,-0.003284,-0.006568,-0.01642,-0.026272,-0.003284,-0.003284,-0.01642,-0.013136,0,0.009852
29:38.9,-0.00309,0.000992817,-0.004926,-0.003284,-0.001642,-0.003284,-0.014778,-0.018062,0,-0.003284,0.019704,0.009852,0.003284,0.003284,0.003284,0.006568,-0.01642,-0.006568
29:39.9,-0.005959,0.001914627,-0.001642,0,0.001642,0,0.01642,0.013136,0.003284,0,0.003284,-0.006568,0,0,0,0.003284,-0.009852,0
29:40.9,-0.013022,0.004183969,0,0.001642,0.001642,0,0,-0.003284,0,-0.003284,0.003284,-0.006568,0.003284,0.003284,-0.003284,0,-0.003284,0.006568
29:41.9,-0.013905,0.004467677,-0.001642,0,0.001642,0,-0.013136,-0.01642,0.001642,-0.001642,0.009852,0,0,0,0.003284,0.006568,-0.009852,0
29:42.9,-0.004856,0.001560233,0,0.001642,0,-0.001642,0.009852,0.006568,0.003284,0,0.01642,0.006568,0,0,0.003284,0.006568,-0.003284,0.006568
29:43.9,-0.009491,0.003049458,-0.004926,-0.003284,0.003284,0.001642,0.006568,0.003284,-0.003284,-0.006568,0.004926,-0.004926,0.003284,0.003284,-0.006568,-0.003284,-0.013136,-0.003284
29:44.9,-0.020527,0.006595325,-0.003284,-0.001642,0.001642,0,-0.009852,-0.013136,0,-0.003284,0.006568,-0.003284,0.003284,0.003284,0.003284,0.006568,-0.009852,0
29:45.9,-0.013905,0.004467677,-0.003284,-0.001642,0.001642,0,0,-0.003284,-0.003284,-0.006568,0.009852,0,0,0,0.003284,0.006568,-0.009852,0
29:46.9,-0.012802,0.004113283,-0.003284,-0.001642,0.001642,0,-0.003284,-0.006568,0,-0.003284,0.01642,0.006568,0,0,0,0.003284,-0.013136,-0.003284
29:47.9,-0.00927,0.002978451,-0.000821,0.000821,0.001642,0,-0.006568,-0.009852,0.003284,0,0.006568,-0.003284,0,0,0.003284,0.006568,-0.006568,0.003284
29:48.9,-0.01545,0.004964085,-0.001642,0,0.001642,0,0,-0.003284,0.003284,0,0.003284,-0.006568,0,0,0,0.003284,-0.009852,0
29:49.9,-0.016333,0.005247793,-0.001642,0,0.001642,0,0.001642,-0.001642,-0.003284,-0.006568,0.013136,0.003284,0.003284,0.003284,-0.003284,0,-0.006568,0.003284
29:50.9,-0.000441,0.000141693,0.001642,0.003284,0,-0.001642,0,-0.003284,0.006568,0.003284,0.013136,0.003284,0,0,0.003284,0.006568,-0.003284,0.006568
29:51.9,-0.013684,0.004396669,0,0.001642,0.001642,0,-0.003284,-0.006568,0.003284,0,0.009852,0,0,0,0.003284,0.006568,-0.006568,0.003284
29:52.9,-0.010153,0.003262159,-0.004926,-0.003284,0.004926,0.003284,0.003284,0,-0.006568,-0.009852,0.003284,-0.006568,0,0,-0.006568,-0.003284,-0.013136,-0.003284
29:53.9,-0.015009,0.004822392,0,0.001642,0.002463,0.000821,0.006568,0.003284,0,-0.003284,0.006568,-0.003284,0.006568,0.006568,0,0.003284,-0.006568,0.003284
29:55.0,-0.009491,0.003049458,-0.003284,-0.001642,0.001642,0,-0.013136,-0.01642,0,-0.003284,0.009852,0,0,0,-0.003284,0,-0.009852,0
29:56.0,-0.015229,0.004893078,0,0.001642,0.001642,0,-0.026272,-0.029556,-0.003284,-0.006568,0.009852,0,0,0,-0.003284,0,-0.009852,0
29:57.0,-0.011698,0.003758567,0,0.001642,0.001642,0,0.006568,0.003284,-0.003284,-0.006568,0.003284,-0.006568,0,0,-0.003284,0,-0.009852,0
29:58.0,-0.011698,0.003758567,-0.001642,0,0,-0.001642,0.006568,0.003284,0,-0.003284,0.01642,0.006568,0,0,0,0.003284,-0.013136,-0.003284
29:59.0,-1.289644,0.414362617,-0.003284,-0.001642,0.021345,0.019703,0.01642,0.013136,-0.019704,-0.022988,-0.044333,-0.054185,0,0,0.029555,0.032839,-0.078814,-0.068962
30:00.0,-3.908439,1.255781451,-0.003284,-0.001642,0.027913,0.026271,0.006568,0.003284,-0.029555,-0.032839,-0.062395,-0.072247,0.003284,0.003284,0.045975,0.049259,-0.10837,-0.098518
30:01.0,-3.830968,1.230890018,0,0.001642,0.042691,0.041049,0.01642,0.013136,-0.042691,-0.045975,-0.078814,-0.088666,0.006568,0.006568,0.062395,0.065679,-0.114938,-0.105086
30:02.0,-8.052824,2.587372351,-0.001642,0,0.093591,0.091949,-0.009852,-0.013136,-0.068962,-0.072246,-0.098518,-0.10837,0.039407,0.039407,0.134641,0.137925,-0.226591,-0.216739
30:03.0,-6.942401,2.230593441,0.00821,0.009852,0.102622,0.10098,-0.013136,-0.01642,-0.072246,-0.07553,-0.095234,-0.105086,0.036123,0.036123,0.141209,0.144493,-0.228233,-0.218381
