TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),,Load in kN,Stud1_Axial-O,Stud1_Axial,Stud2_Axial-O,Stud2_Axial,Stud3_Axial-O,Stud3_Axial,Stud4_Axial-O,Stud4_Axial,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom,Stud3_Top-O,Stud3_Top,Stud3_Mid-O,Stud3_Mid,Stud3_Bottom-O,Stud3_Bottom
43172.52893,-50.726719,70.726719,22.72449481,3.917741,3.955506,3.953854,3.983409,3.737099,3.732173,4.28225,4.274861,0.124789,0.134641,0.187188,0.182262,-0.334969,0.321833,-0.147776,0.141208,0.476182,0.492602,0.052544,0.047618
43172.52894,-52.527321,72.527321,23.30302824,3.97521,4.012975,3.989977,4.019532,3.761728,3.756802,4.303596,4.296207,0.08374,0.093592,0.21346,0.208534,-0.334969,0.321833,-0.193751,0.187183,0.512306,0.528726,0.068964,0.064038
43172.52895,-53.570206,73.570206,23.63810719,4.054025,4.09179,4.049088,4.078643,3.817555,3.812629,4.352855,4.345466,0.05911,0.068962,0.252869,0.247943,-0.334969,0.321833,-0.216738,0.21017,0.584554,0.600974,0.085384,0.080458
43172.52896,-53.282612,73.282612,23.54570324,4.060593,4.098358,4.05894,4.088495,3.822481,3.817555,4.356139,4.34875,0.032839,0.042691,0.256153,0.251227,-0.334969,0.321833,-0.229873,0.223305,0.591122,0.607542,0.088668,0.083742
43172.52897,-54.619709,74.619709,23.9753125,4.145976,4.183741,4.113125,4.14268,3.87995,3.875024,4.408682,4.401293,0.01642,0.026272,0.298845,0.293919,-0.334969,0.321833,-0.256145,0.249577,0.630531,0.646951,0.09852,0.093594
43172.52898,-54.347343,74.347343,23.88780131,4.208371,4.246136,4.185371,4.214926,3.93906,3.934134,4.487497,4.480108,0.009852,0.019704,0.344821,0.339895,-0.334969,0.321833,-0.279132,0.272564,0.709347,0.725767,0.118224,0.113298
43172.529,-56.309071,76.309071,24.51810451,4.274049,4.311814,4.269112,4.298667,3.976825,3.971899,4.556459,4.54907,-0.022987,0.013135,0.380945,0.376019,-0.334969,0.321833,-0.298836,0.292268,0.768459,0.784879,0.147779,0.142853
43172.52901,-55.900967,75.900967,24.3869807,4.33316,4.370925,4.316729,4.346284,4.017875,4.012949,4.650052,4.642663,-0.032839,0.022987,0.403933,0.399007,-0.334969,0.321833,-0.315255,0.308687,0.781595,0.798015,0.151063,0.146137
43172.52902,-57.041405,77.041405,24.75340343,4.379136,4.416901,4.336433,4.365988,4.042504,4.037578,4.677966,4.670577,-0.05911,0.049258,0.420353,0.415427,-0.334969,0.321833,-0.338242,0.331674,0.791447,0.807867,0.157631,0.152705
43172.52903,-57.618797,77.618797,24.93891948,4.421827,4.459592,4.36763,4.397185,4.070417,4.065491,4.727225,4.719836,-0.078814,0.068962,0.420353,0.415427,-0.334969,0.321833,-0.34481,0.338242,0.791447,0.807867,0.157631,0.152705
43172.52904,-57.677509,77.677509,24.95778364,4.502284,4.540049,4.431667,4.461222,4.150874,4.145948,4.78962,4.782231,-0.088666,0.078814,0.528725,0.523799,-0.334969,0.321833,-0.371081,0.364513,0.8834,0.89982,0.174051,0.169125
43172.52905,-59.515411,79.515411,25.54830155,4.571247,4.609012,4.466149,4.495704,4.277305,4.272379,4.827385,4.819996,-0.131356,0.121504,0.561565,0.556639,-0.331685,0.318549,-0.384217,0.377649,0.922808,0.939228,0.193755,0.188829
43172.52907,-58.937134,78.937134,25.36250115,4.630358,4.668123,4.538395,4.56795,4.30686,4.301934,4.873361,4.865972,-0.137924,0.128072,0.561565,0.556639,-0.334969,0.321833,-0.390785,0.384217,0.926092,0.942512,0.190471,0.185545
43172.52908,-60.699993,80.699993,25.92890775,4.666482,4.704247,4.559741,4.589296,4.333132,4.328206,4.904558,4.897169,-0.15106,0.141208,0.564849,0.559923,-0.331685,0.318549,-0.400637,0.394069,0.926092,0.942512,0.190471,0.185545
