TimeStamp,Time in Minutes,Kyowa PG 500 KUM -Load in bar-(bar),Load in kN,Stud2-Axial,Stud3-Axial,Stud4-Axial,Stud5-Axial,Stud3-Top,Stud3-Mid,Stud3-Bottom,Stud4-Top,Stud4-Mid,Stud4-Bottom,Pb1-Top-Right,Pb1-Top-Left,Pb1-Mid-Mid,Pb1-Bottom-Right,Pb1-Bottom-Left,Pb1-Pb2-Mid-Right,Pb1-Pb2-Mid-Mid,Pb1-Pb2-Mid-Left,Pb2-Mid-Right,Pb2-Mid-Mid,Pb2-Mid-Left,Pb3-Mid-Right,Pb3-Mid-Mid,Pb3-Mid-Left,Pb3-Pb4-Mid-Right,Pb3-Pb4-Mid-Mid,Pb3-Pb4-Mid-Left,Pb4-Top-Right,Pb4-Top-Left,Pb4-Mid-Mid,Pb4-Bottom-Right,Pb4-Bottom-Left,Stud2-Mid-Fire-HF,Stud2-Mid-Fire-CF,Stud2-Mid-Amb-HF,Stud2-Mid-Amb-CF,Stud3-Top-Fire-HF,Stud3-Top-Fire-CF,Stud3-Top-Amb-HF,Stud3-Top-Amb-CF,Stud3-Mid-Fire-HF,Stud3-Mid-Fire-CF,Stud3-Mid-Amb-HF,Stud3-Mid-Amb-CF,Stud3-Bottom-Fire-HF,Stud3-Bottom-Fire-CF,Stud3-Bottom-Amb-HF,Stud3-Bottom-Amb-CF,Stud4-Top-Fire-HF,Stud4-Top-Fire-CF,Stud4-Top-Amb-HF,Stud4-Top-Amb-CF,Stud4-Mid-Fire-HF,Stud4-Mid-Fire-CF,Stud4-Mid-Amb-HF,Stud4-Mid-Amb-CF,Stud4-Bottom-Fire-HF,Stud4-Bottom-Fire-CF,Stud4-Bottom-Amb-HF,Stud4-Bottom-Amb-CF,Stud5-Mid-Fire-HF,Stud5-Mid-Fire-CF,Stud5-Mid-Amb-HF,Stud5-Mid-Amb-CF,Furnace-Top-Left,Furnace-Top-Right,Furnace-Bottom-Left,Furnace-Bottom-Right,Left-Side-Top,Left-Side-Bottom,Right-Side-Top,Right-Side-Bottom,Average-Furnace,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4
07:09.4,17,-61.26878,19.68565901,7.815662,6.520173,6.318233,7.255774,-0.269284,-0.456475,0.279139,0.098518,-0.055828,0.784874,661.140137,668.916565,714.348572,685.793152,700.043457,94.15239,89.089745,93.71212,21.433907,70.612633,70.715805,43.535931,43.400078,43.362427,29.105635,29.252218,28.835394,23.575045,22.906927,22.533649,23.358158,22.048784,20.828886,52.427391,51.271667,46.34177,21.273077,57.242691,21.721491,50.094093,74.411209,55.028019,52.136227,48.496998,72.564079,48.56839,43.634125,21.198324,70.634117,56.63784,54.795361,49.139618,70.897758,54.304966,51.318344,47.14077,66.851677,50.189777,43.715534,38.951012,71.195198,53.786289,50.843605,48.133209,707.153259,747.156555,780.967163,772.926208,36.55056,26.243689,31.758877,25.166548,752.0507963,686.0483766,93.932255,70.664219,43.432812,29.06441567,22.8845126
08:09.8,18,-61.562771,19.78011832,7.814841,6.520173,6.314949,7.25249,-0.183902,-0.295559,0.298843,0.022988,0.068963,0.775022,674.090088,680.61084,724.97406,698.827637,713.223572,94.607788,89.250977,94.308296,21.392717,71.315819,71.364388,45.050167,44.779232,44.90202,30.452597,30.476002,30.164106,24.217602,23.366013,22.951757,23.973831,22.309393,20.812449,54.718399,52.292183,47.602489,21.25572,59.483692,21.730745,51.376522,75.774734,57.342022,53.325111,49.361813,73.849815,51.736359,44.064003,21.174948,72.286819,58.125038,56.291611,50.888268,72.564079,56.355915,52.462994,48.416115,68.388695,52.18243,44.401043,39.701633,72.695427,56.426739,52.152679,49.245975,718.58136,756.547974,791.789062,785.016296,38.123795,26.618465,33.247574,25.777744,762.983673,698.3452394,94.458042,71.3401035,44.910473,30.364235,23.3637192
09:10.4,19,-61.868023,19.87819579,7.815662,6.523457,6.316591,7.249206,-0.036124,-0.134644,0.315263,-0.049259,0.203606,0.775022,685.448608,693.054749,732.182922,710.227234,725.776794,95.009331,89.48175,94.928658,21.412617,71.78891,71.988304,46.470295,46.174984,46.37096,31.78042,31.707308,31.489084,24.890232,23.926962,23.481274,24.566776,22.676041,20.802261,57.272133,53.349438,48.824554,21.261736,61.547569,21.764057,52.815147,76.86441,59.581123,54.352684,50.502964,74.92807,54.311493,45.171574,21.163607,73.74308,60.374126,57.679756,52.37376,74.003532,58.415031,53.46294,49.426159,69.733887,53.998146,44.97134,40.415836,73.814011,58.768539,53.092674,50.343445,727.807556,762.982239,800.276001,792.532532,39.563065,27.193617,34.463322,26.207748,770.899582,709.3380614,94.9689945,71.888607,46.33874633,31.65893733,23.908257
10:11.0,20,-62.10088,19.95301274,7.815662,6.518531,6.310023,7.25249,0.085383,0.003284,0.334967,-0.134642,0.364521,0.775022,693.281921,701.135925,745.280151,720.749268,735.788208,95.548271,89.708275,95.700226,21.370272,72.277199,72.504776,47.758472,47.183739,47.658783,32.919781,32.940845,32.64502,25.759535,24.435013,24.034086,25.020096,23.004675,20.795547,59.643982,54.000172,49.97493,21.244148,63.372238,21.782793,54.200748,77.687401,61.570896,55.228481,51.444843,75.734688,56.341751,46.166161,21.15134,74.86721,62.544476,58.620987,53.720768,75.376244,60.287949,54.222359,50.387894,70.84964,55.601669,45.583038,41.1171,74.763168,60.768177,53.884453,51.452507,733.984009,768.96521,808.902039,799.777466,40.55817,27.802048,35.392216,26.654161,777.907181,719.2470946,95.6242485,72.3909875,47.53366467,32.83521533,24.450681
11:11.4,21,-62.269283,20.00712063,7.815662,6.515247,6.306739,7.25249,0.193753,0.1642,0.361239,-0.170765,0.433484,0.778306,705.063904,714.43866,754.157654,731.949463,750.263245,96.416725,90.254242,96.695335,21.370272,72.641502,72.795456,48.90406,48.215466,48.70303,34.148937,34.107777,33.898968,26.634125,25.047312,24.630459,25.547232,23.320967,20.821709,61.57785,54.645039,50.84586,21.25572,64.90052,21.826975,55.296421,78.551605,63.233696,55.969608,52.386154,76.382889,57.894321,47.068851,21.140694,76.069862,64.261635,59.620636,54.868717,76.444199,61.911835,54.94162,51.277081,71.845085,56.973217,46.123837,41.72414,75.584778,62.441326,54.534088,52.160568,743.732666,776.968262,815.504578,808.174255,41.225491,28.151897,36.302284,27.06724,786.0949403,731.1745852,96.55603,72.718479,48.60751867,34.051894,25.036019
12:12.0,22,-62.415176,20.05399605,7.815662,6.520173,6.300171,7.25249,0.272568,0.285708,0.397363,-0.203605,0.525435,0.784874,715.438599,724.742065,763.222656,742.396362,760.105957,97.874458,91.400566,98.545502,21.367495,72.685806,73.097534,49.948071,49.223171,49.563202,35.323463,35.157154,35.083817,27.419863,25.700298,25.229275,25.94714,23.687744,20.837452,63.210831,55.426216,51.543823,21.26544,66.246719,21.861902,56.212914,79.237053,64.659187,56.647057,53.118805,76.866203,59.10762,47.788761,21.125881,77.091522,65.665199,60.356846,55.918785,77.466545,63.265083,55.641705,52.00325,72.813354,58.095161,46.581158,42.28093,76.255798,63.802849,55.272797,52.955269,752.732666,783.758484,824.018372,814.50592,41.57877,28.34115,37.246479,27.806648,793.7538605,741.1811278,98.20998,72.89167,49.578148,35.18814467,25.596864
13:12.5,23,-62.592411,20.11094165,7.817304,6.521815,6.300171,7.257416,0.328396,0.443339,0.482747,-0.244654,0.655152,0.784874,726.157471,733.731445,773.03302,752.421753,773.141174,100.235489,101.138901,101.331573,21.327923,72.974243,73.320183,50.633362,50.13065,50.331261,36.43647,36.09481,36.196842,28.141088,26.313725,25.741556,26.408175,24.022774,20.828886,64.478798,55.993446,52.160343,21.267523,67.265762,21.873699,56.96917,79.796555,65.755257,57.1483,53.669205,77.267845,60.020191,48.445488,21.112919,78.145226,66.777321,61.10989,56.699883,78.476418,64.335815,56.178963,52.589626,73.618225,59.020271,46.881126,42.716732,76.890144,64.919121,55.898319,53.520138,759.887085,790.682983,832.158447,821.021423,41.92627,28.858147,37.569996,28.048634,800.9374845,751.6969726,100.783531,73.147213,50.365091,36.24270733,26.1254636
14:13.1,24,-62.761261,20.16519316,7.817304,6.520173,6.290319,7.259058,0.449902,0.535291,0.505735,-0.298839,0.738894,0.791442,735.60321,743.603882,780.425171,762.151367,779.67157,107.061729,110.407898,108.453651,21.334866,73.345238,73.508583,51.45499,50.732395,51.069828,37.475391,37.063362,37.22208,28.998329,26.94545,26.268801,26.707821,24.356777,20.833748,65.689163,56.607941,52.693268,21.272614,68.290627,21.883415,57.70245,80.290054,66.792107,57.6483,54.242165,77.650925,60.908638,49.017891,21.08746,79.323441,67.877754,61.868324,57.507862,79.651077,65.461998,56.659195,53.192005,74.491089,59.920532,47.071114,43.124245,77.4925,65.934242,56.635365,54.108006,768.141174,797.151184,841.102173,827.671387,42.290691,29.193174,37.902992,28.084282,808.5164795,760.29104,107.75769,73.4269105,51.08573767,37.253611,26.6554356
15:13.8,25,-62.884418,20.2047635,7.817304,6.516889,6.283751,7.255774,0.492594,0.637095,0.538575,-0.302123,0.758597,0.791442,747.282959,753.121338,784.786743,771.463867,790.84259,115.530815,128.07045,118.174484,21.324221,73.938423,73.903069,52.010914,51.59906,51.818638,38.443638,37.970901,38.193737,29.854643,27.546888,26.900093,27.084505,24.704292,20.837221,66.720215,56.976139,53.216106,21.276316,69.17292,21.905157,58.468037,80.822983,67.707802,57.99699,54.639412,78.059975,61.660622,49.577427,21.071487,80.747551,68.85302,62.407017,58.223656,80.806198,66.421204,57.088516,53.663353,75.793983,60.725319,47.464127,43.595348,78.139412,66.836227,57.145378,54.563797,774.731445,800.69043,843.760559,832.856018,42.581013,29.529932,38.383503,28.149597,813.009613,769.4994994,116.8526495,73.920746,51.80953733,38.20275867,27.2180842
16:14.3,26,-63.081299,20.26802137,7.817304,6.516889,6.287035,7.255774,0.505729,0.715911,0.558279,-0.308691,0.791437,0.794726,754.462158,759.869568,791.846008,777.267029,796.72821,133.94899,148.071472,137.2155,21.323063,74.631157,74.367798,52.622295,52.140961,52.394264,39.239666,38.820091,39.015213,30.656809,28.148678,27.395239,27.402603,25.044083,20.841156,67.626518,57.417305,53.688572,21.279556,70.050613,21.926205,59.123787,81.559433,68.505112,58.403126,55.117115,78.876083,62.347366,50.09116,21.078894,82.083725,69.705681,62.793591,58.894295,81.955444,67.319511,57.489212,54.18544,77.08638,61.430698,47.918957,44.050175,78.628357,67.634804,57.477753,54.970646,779.170837,810.211609,847.055298,836.706421,42.852661,29.669796,38.64566,28.62669,818.2860413,776.0345946,135.582245,74.4994775,52.38584,39.02499,27.7294824
