TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),LVDT12 - 50mm_Stud1_Axial_(mm),LVDT12 - 50mm_Stud2_Axial_(mm),LVDT12 - 50mm_Stud3_Axial_(mm),LVDT12 - 50mm_Stud4_Axial_(mm),LVDT Type 100mm_Stud2_Top_(mm),LVDT Type 100mm_Stud2_Mid_(mm),LVDT Type 100mm_Stud2_Bottom_(mm),LVDT Type 100mm_Stud3_Top_(mm),LVDT Type 100mm_Stud3_Mid_(mm),LVDT Type 100mm_Stud3_Bottom_(mm)
12:39:53.720 PM 13/03/2018,-17.395733,2.824186,2.994944,2.769983,3.173920,0.128072,-0.295561,-0.272573,-0.016420,-0.183905,0.003284
12:39:54.721 PM 13/03/2018,-17.246750,2.784779,2.975240,2.756848,3.159963,0.114937,-0.295561,-0.275857,0.019703,-0.180621,-0.003284
12:39:55.735 PM 13/03/2018,-16.543768,2.768359,2.942401,2.735502,3.142722,0.124789,-0.298845,-0.275857,0.003284,-0.183905,0.006568
12:39:56.737 PM 13/03/2018,-15.707476,2.730594,2.927623,2.717441,3.141081,0.111653,-0.298845,-0.272573,0.009852,-0.180621,-0.003284
12:39:57.738 PM 13/03/2018,-15.308421,2.705964,2.883290,2.694453,3.111525,0.091949,-0.302129,-0.272573,0.019703,-0.177337,-0.009852
12:39:58.748 PM 13/03/2018,-14.710060,2.674767,2.863586,2.671466,3.090179,0.101801,-0.298845,-0.272573,0.016420,-0.187189,-0.009852
12:39:59.759 PM 13/03/2018,-14.240156,2.648495,2.832389,2.653404,3.075402,0.118221,-0.298845,-0.269289,-0.003284,-0.187189,0.000000
12:40:00.768 PM 13/03/2018,-13.979711,2.628792,2.812685,2.648478,3.067192,0.118221,-0.302129,-0.275857,0.013136,-0.183905,0.000000
12:40:01.769 PM 13/03/2018,-13.984567,2.615656,2.825821,2.651762,3.068834,0.101801,-0.302129,-0.275857,0.019703,-0.177337,0.006568
12:40:02.777 PM 13/03/2018,-14.128915,2.615656,2.807759,2.648478,3.072118,0.128072,-0.305413,-0.275857,0.006568,-0.177337,0.003284
12:40:03.779 PM 13/03/2018,-14.149442,2.620582,2.817611,2.646836,3.068834,0.114937,-0.302129,-0.272573,0.006568,-0.177337,0.000000
12:40:04.791 PM 13/03/2018,-14.168864,2.615656,2.817611,2.648478,3.070476,0.111653,-0.302129,-0.275857,0.019703,-0.174053,-0.003284
12:40:05.799 PM 13/03/2018,-13.683731,2.625508,2.819253,2.646836,3.063908,0.118221,-0.302129,-0.269289,-0.006568,-0.180621,0.003284
12:40:06.807 PM 13/03/2018,-13.495681,2.595952,2.778204,2.635343,3.044204,0.121505,-0.302129,-0.275857,0.000000,-0.180621,-0.003284
12:40:07.809 PM 13/03/2018,-12.733768,2.549977,2.729766,2.607429,3.016291,0.118221,-0.302129,-0.272573,0.009852,-0.183905,0.001642
12:40:08.820 PM 13/03/2018,-11.990618,2.499076,2.668192,2.572948,2.963748,0.111653,-0.298845,-0.272573,0.000000,-0.183905,0.006568
12:40:09.831 PM 13/03/2018,-10.898074,2.443249,2.618933,2.541751,2.792983,0.111653,-0.302129,-0.275857,0.013136,-0.183905,0.003284
12:40:10.843 PM 13/03/2018,-10.477610,2.413693,2.581168,2.513838,2.743724,0.114937,-0.302129,-0.275857,0.003284,-0.183905,0.000000
12:40:11.844 PM 13/03/2018,-9.651249,2.362792,2.538477,2.480998,2.712527,0.114937,-0.302129,-0.272573,-0.003284,-0.177337,0.006568
12:40:12.845 PM 13/03/2018,-8.873667,2.294651,2.459662,2.436665,2.656700,0.121505,-0.302129,-0.272573,0.009852,-0.183905,-0.003284
12:40:13.856 PM 13/03/2018,-7.942907,2.224867,2.380848,2.380839,2.571317,0.121505,-0.302129,-0.275857,0.009852,-0.183905,-0.003284
12:40:14.858 PM 13/03/2018,-7.530830,2.195311,2.346366,2.356209,2.541762,0.111653,-0.302129,-0.275857,0.013136,-0.187189,0.000000
12:40:15.860 PM 13/03/2018,-7.530830,2.190385,2.346366,2.348000,2.530268,0.114937,-0.302129,-0.272573,0.003284,-0.187189,0.000000
12:40:16.862 PM 13/03/2018,-6.640683,2.142768,2.293823,2.323370,2.497429,0.118221,-0.302129,-0.272573,0.019703,-0.183905,0.000000
12:40:17.862 PM 13/03/2018,-7.019873,2.140305,2.282330,2.321728,2.497429,0.118221,-0.302129,-0.272573,0.000000,-0.187189,-0.003284
12:40:18.864 PM 13/03/2018,-7.138618,2.137842,2.306959,2.320086,2.497429,0.114937,-0.302129,-0.275857,0.016420,-0.187189,0.000000
12:40:19.865 PM 13/03/2018,-7.169298,2.139484,2.295465,2.320086,2.492503,0.118221,-0.302129,-0.272573,0.009852,-0.187189,-0.003284
12:40:20.866 PM 13/03/2018,-6.198368,2.072984,2.233071,2.285605,2.436676,0.118221,-0.302129,-0.272573,0.009852,-0.187189,-0.003284
12:40:21.868 PM 13/03/2018,-5.174908,1.972003,2.121417,2.185446,2.288899,0.124789,-0.305413,-0.274215,0.013136,-0.183905,-0.003284
12:40:22.879 PM 13/03/2018,-4.780709,1.889905,2.022899,2.101706,2.219936,0.111653,-0.308697,-0.275857,0.016420,-0.187189,-0.003284
12:40:23.889 PM 13/03/2018,-4.053008,1.824226,1.971998,2.040953,2.165751,0.114937,-0.308697,-0.275857,0.009852,-0.187189,-0.003284
12:40:24.896 PM 13/03/2018,-4.171312,1.804522,1.966251,2.014682,2.127986,0.124789,-0.311981,-0.275857,0.013136,-0.190473,0.000000
12:40:25.898 PM 13/03/2018,-3.979730,1.765115,1.914529,1.983485,2.045888,0.119863,-0.311981,-0.272573,0.009852,-0.190473,-0.003284
12:40:26.899 PM 13/03/2018,-3.182946,1.694510,1.836536,1.904670,1.878407,0.118221,-0.311981,-0.275857,0.027913,-0.185547,-0.001642
12:40:27.906 PM 13/03/2018,-2.881889,1.635399,1.783993,1.848844,1.835716,0.129714,-0.308697,-0.275857,0.022987,-0.188831,0.000000
12:40:28.914 PM 13/03/2018,-2.583040,1.573005,1.730629,1.793017,1.788099,0.141208,-0.315265,-0.275857,0.029555,-0.187189,0.000000
12:40:29.920 PM 13/03/2018,-1.961945,1.500758,1.661667,1.725697,1.715852,0.147776,-0.318549,-0.272573,0.045975,-0.188831,-0.003284
12:40:30.933 PM 13/03/2018,-1.782061,1.446573,1.604198,1.671512,1.673161,0.174047,-0.321833,-0.272573,0.059110,-0.190473,-0.003284
12:40:31.938 PM 13/03/2018,-1.738801,1.412092,1.579569,1.640315,1.650174,0.174047,-0.321833,-0.275857,0.062394,-0.190473,-0.003284
12:40:32.949 PM 13/03/2018,-1.688919,1.382536,1.553297,1.615686,1.633754,0.180615,-0.325117,-0.275857,0.062394,-0.190473,-0.003284
12:40:33.950 PM 13/03/2018,-1.506608,1.362833,1.530310,1.589414,1.618977,0.180615,-0.325117,-0.275857,0.062394,-0.190473,-0.003284
12:40:34.952 PM 13/03/2018,-1.353651,1.334098,1.491723,1.568069,1.592705,0.174047,-0.328401,-0.272573,0.065678,-0.190473,-0.003284
12:40:35.953 PM 13/03/2018,-1.143530,1.315216,1.472841,1.540156,1.579569,0.183899,-0.328401,-0.272573,0.065678,-0.187189,-0.003284
12:40:36.954 PM 13/03/2018,-1.019929,1.292228,1.449032,1.523736,1.569718,0.197035,-0.328401,-0.275857,0.068962,-0.190473,-0.006568
12:40:37.956 PM 13/03/2018,-0.948858,1.269240,1.428508,1.505674,1.554940,0.190467,-0.328401,-0.272573,0.075530,-0.190473,-0.003284
12:40:38.958 PM 13/03/2018,-1.018163,1.262673,1.431792,1.497465,1.546730,0.177331,-0.328401,-0.272573,0.075530,-0.187189,0.000000
12:40:39.967 PM 13/03/2018,-1.036262,1.261031,1.425224,1.494181,1.545088,0.190467,-0.328401,-0.272573,0.078814,-0.190473,-0.003284
12:40:40.975 PM 13/03/2018,-0.736088,1.237222,1.402236,1.456416,1.515533,0.200319,-0.331685,-0.275857,0.068962,-0.190473,-0.006568
12:40:41.983 PM 13/03/2018,-0.736088,1.224907,1.382533,1.443280,1.504039,0.200319,-0.331685,-0.275857,0.072246,-0.190473,-0.003284
12:40:42.985 PM 13/03/2018,-0.692828,1.206846,1.362829,1.436712,1.495829,0.183899,-0.334969,-0.275857,0.075530,-0.190473,-0.003284
12:40:43.987 PM 13/03/2018,-0.711588,1.206846,1.356261,1.431786,1.487619,0.197035,-0.334969,-0.272573,0.078814,-0.190473,-0.006568
12:40:44.989 PM 13/03/2018,-0.271922,1.165796,1.329990,1.405515,1.410447,0.197035,-0.338253,-0.272573,0.078814,-0.190473,-0.006568
12:40:45.997 PM 13/03/2018,-0.373893,1.126389,1.288941,1.359540,1.233115,0.197035,-0.334969,-0.275857,0.075530,-0.190473,-0.009852
12:40:46.999 PM 13/03/2018,-0.197320,1.113253,1.269237,1.343121,1.215053,0.197035,-0.334969,-0.275857,0.075530,-0.190473,-0.006568
12:40:48.008 PM 13/03/2018,-0.211446,1.111611,1.261027,1.343121,1.213411,0.193751,-0.338253,-0.275857,0.091949,-0.190473,-0.006568
12:40:49.010 PM 13/03/2018,-0.260224,1.116537,1.270879,1.343121,1.215053,0.197035,-0.339895,-0.272573,0.088665,-0.190473,-0.003284
12:40:50.019 PM 13/03/2018,-0.280309,1.105044,1.251176,1.343121,1.215053,0.197035,-0.338253,-0.272573,0.078814,-0.190473,-0.006568
12:40:51.020 PM 13/03/2018,-0.302160,1.108328,1.269237,1.341479,1.215053,0.197035,-0.334969,-0.272573,0.085382,-0.190473,-0.006568
12:40:52.027 PM 13/03/2018,-0.331295,1.108328,1.264311,1.343121,1.213411,0.193751,-0.338253,-0.275857,0.078814,-0.193757,-0.006568
12:40:53.028 PM 13/03/2018,-0.343876,1.108328,1.270879,1.343121,1.213411,0.187183,-0.338253,-0.275857,0.068962,-0.190473,-0.003284
12:40:54.036 PM 13/03/2018,-2.492546,1.165796,1.282373,1.413725,1.508965,0.216738,-0.334969,-0.275857,0.111653,-0.190473,-0.003284
12:40:55.038 PM 13/03/2018,-2.466943,1.172364,1.287299,1.417009,1.515533,0.213454,-0.338253,-0.275857,0.108369,-0.190473,-0.003284
12:40:56.046 PM 13/03/2018,-5.231632,1.546733,1.599272,1.728981,1.794667,0.216738,-0.334969,-0.275857,0.134640,-0.203609,0.000000
12:40:57.048 PM 13/03/2018,-5.025483,1.581215,1.635395,1.748684,1.812729,0.229874,-0.334969,-0.275857,0.131356,-0.203609,0.000000
12:40:58.057 PM 13/03/2018,-5.963526,1.643609,1.687938,1.809437,1.852136,0.233158,-0.334969,-0.272573,0.128072,-0.203609,-0.003284
12:40:59.058 PM 13/03/2018,-6.588814,1.684659,1.727345,1.873473,1.888259,0.220022,-0.334969,-0.275857,0.137924,-0.206893,0.000000
12:41:00.066 PM 13/03/2018,-6.654809,1.735560,1.786456,1.901386,1.919456,0.236442,-0.338253,-0.275857,0.141208,-0.206893,-0.006568
