TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Load in kN-20 added,Stud1_Axial-O,Stud1_Axial-Zero,Stud1_Axial-O,Stud2_Axial-O,Stud2_Axial-Zero,Stud2_Axial,Stud3_Axial-O,Stud3_Axial-Zero,,Stud4_Axial-O,Stud4_Axial-Zero,Stud4_Axial-O,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom,Stud3_Top-O,Stud3_Top,Stud3_Mid-O,Stud3_Mid,Stud3_Bottom-O,Stud3_Bottom
42:21.4,-82.22245,26.41807319,32.84407319,6.871661,6.909426,,6.300234,6.329789,,5.587594,5.582668,,6.132756,6.125367,,-0.472883,-0.463031,1.024611,1.019685,-0.275857,-0.262721,-0.42034,-0.413772,0.958932,0.975352,0.170767,0.165841
42:22.4,-83.154533,26.71755145,33.14355145,6.884797,6.922562,,6.337999,6.367554,,5.613865,5.608939,,6.155743,6.148354,,-0.479451,-0.469599,1.021327,1.016401,-0.275857,-0.262721,-0.417056,-0.410488,0.952364,0.968784,0.169125,0.164199
42:23.4,-83.785561,26.92030075,33.34630075,6.915995,6.95376,,6.367555,6.39711,,5.646704,5.641778,,6.188583,6.181194,,-0.486019,-0.476167,1.018042,1.013116,-0.279141,-0.266005,-0.417056,-0.410488,0.952364,0.968784,0.167483,0.162557
42:24.4,-84.374878,27.1096483,33.5356483,6.948834,6.986599,,6.408604,6.438159,,5.672976,5.66805,,6.214855,6.207466,,-0.486019,-0.476167,1.018042,1.013116,-0.275857,-0.262721,-0.410488,-0.40392,0.94908,0.9655,0.167483,0.162557
42:25.4,-85.276505,27.39934106,33.82534106,6.968538,7.006303,,6.444727,6.474282,,5.714025,5.709099,,6.255904,6.248515,,-0.469599,-0.459747,1.018042,1.013116,-0.275857,-0.262721,-0.403921,-0.397353,0.942512,0.958932,0.167483,0.162557
42:26.4,-85.508911,27.4740131,33.9000131,7.029292,7.067057,,6.507123,6.536678,,5.778062,5.773136,,6.321583,6.314194,,-0.472883,-0.463031,1.014758,1.009832,-0.275857,-0.262721,-0.410488,-0.40392,0.935944,0.952364,0.167483,0.162557
42:27.4,-86.632141,27.8349069,34.2609069,7.067057,7.104822,,6.576086,6.605641,,5.840456,5.83553,,6.397114,6.389725,,-0.479451,-0.469599,1.008191,1.003265,-0.275857,-0.262721,-0.410488,-0.40392,0.903104,0.919524,0.164199,0.159273
42:28.4,-87.398247,28.08105676,34.50705676,7.085119,7.122884,,6.594148,6.623703,,5.874938,5.870012,,6.421744,6.414355,,-0.482735,-0.472883,0.998338,0.993412,-0.275857,-0.262721,-0.407204,-0.400636,0.863696,0.880116,0.154347,0.149421
42:29.4,-89.831635,28.86290433,35.28890433,7.173786,7.211551,,6.709086,6.738641,,5.981666,5.97674,,6.541608,6.534219,,-0.469599,-0.459747,0.937584,0.932658,-0.275857,-0.262721,-0.410488,-0.40392,0.821003,0.837423,0.147779,0.142853
42:30.4,-89.326859,28.7007198,35.1267198,7.181996,7.219761,,6.746851,6.776406,,6.003011,5.998085,,6.571164,6.563775,,-0.472883,-0.463031,0.87683,0.871904,-0.275857,-0.262721,-0.417056,-0.410488,0.788163,0.804583,0.134643,0.129717
42:31.4,-91.087074,29.26627688,35.69227688,7.237823,7.275588,,6.792827,6.822382,,6.067048,6.062122,,6.631917,6.624528,,-0.472883,-0.463031,0.840706,0.83578,-0.277499,-0.264363,-0.410488,-0.40392,0.758607,0.775027,0.124792,0.119866
42:32.4,-91.38327,29.36144465,35.78744465,7.264916,7.302681,,6.837981,6.867536,,6.114665,6.109739,,6.672966,6.665577,,-0.479451,-0.469599,0.791446,0.78652,-0.279141,-0.266005,-0.408846,-0.402278,0.722483,0.738903,0.121508,0.116582
42:33.4,-91.300064,29.33471056,35.76071056,7.285441,7.323206,,6.868358,6.897913,,6.149147,6.144221,,6.7173,6.709911,,-0.479451,-0.469599,0.765174,0.760248,-0.275857,-0.262721,-0.410488,-0.40392,0.689643,0.706063,0.111656,0.10673
42:34.4,-92.232368,29.63425984,36.06025984,7.295293,7.333058,,6.889704,6.919259,,6.173776,6.16885,,6.755065,6.747676,,-0.479451,-0.469599,0.738902,0.733976,-0.275857,-0.262721,-0.417056,-0.410488,0.630531,0.646951,0.105088,0.100162
42:35.5,-93.271942,29.96827496,36.39427496,7.323207,7.360972,,6.921722,6.951277,,6.211541,6.206615,,6.891349,6.88396,,-0.466315,-0.456463,0.725766,0.72084,-0.272573,-0.259437,-0.407204,-0.400636,0.59769,0.61411,0.101804,0.096878
42:36.5,-93.25119,29.96160735,36.38760735,7.341269,7.379034,,6.942247,6.971802,,6.237813,6.232887,,6.920905,6.913516,,-0.472883,-0.463031,0.709346,0.70442,-0.275857,-0.262721,-0.407204,-0.400636,0.571418,0.587838,0.091952,0.087026
42:37.5,-95.123085,30.56304721,36.98904721,7.38396,7.421725,,7.003,7.032555,,6.291998,6.287072,,6.984942,6.977553,,-0.469599,-0.459747,0.673222,0.668296,-0.275857,-0.262721,-0.410488,-0.40392,0.505738,0.522158,0.085384,0.080458
42:38.5,-95.233444,30.59850556,37.02450556,7.40038,7.438145,,7.034198,7.063753,,6.341257,6.336331,,7.039128,7.031739,,-0.476167,-0.466315,0.597689,0.592763,-0.275857,-0.262721,-0.407204,-0.400636,0.459762,0.476182,0.068964,0.064038
42:39.5,-95.478218,30.67715144,37.10315144,7.421726,7.459491,,7.073605,7.10316,,6.375738,6.370812,,7.076893,7.069504,,-0.463031,-0.453179,0.568133,0.563207,-0.279141,-0.266005,-0.407204,-0.400636,0.41707,0.43349,0.06568,0.060754
42:40.5,-97.228714,31.23958581,37.66558581,7.482479,7.520244,,7.142568,7.172123,,6.451269,6.446343,,7.15735,7.149961,,-0.474525,-0.464673,0.545145,0.540219,-0.279141,-0.266005,-0.397353,-0.390785,0.362883,0.379303,0.059112,0.054186
42:41.5,-96.883957,31.12881538,37.55481538,7.502183,7.539948,,7.16063,7.190185,,6.474257,6.469331,,7.186906,7.179517,,-0.459747,-0.449895,0.512305,0.507379,-0.279141,-0.266005,-0.384217,-0.377649,0.321833,0.338253,0.062396,0.05747
42:42.5,-98.278664,31.57693474,38.00293474,7.535023,7.572788,,7.208247,7.237802,,6.533367,6.528441,,7.241091,7.233702,,-0.472883,-0.463031,0.463045,0.458119,-0.279141,-0.266005,-0.351378,-0.34481,0.285709,0.302129,0.055828,0.050902
42:43.5,-99.756798,32.0518592,38.4778592,7.577714,7.615479,,7.270643,7.300198,,6.592478,6.587552,,7.303486,7.296097,,-0.482735,-0.472883,0.420353,0.415427,-0.275857,-0.262721,-0.328391,-0.321823,0.243017,0.259437,0.045976,0.04105
42:44.5,-99.64489,32.01590316,38.44190316,7.592492,7.630257,,7.303482,7.333037,,6.61875,6.613824,,7.3314,7.324011,,-0.476167,-0.466315,0.400649,0.395723,-0.275857,-0.262721,-0.302119,-0.295551,0.203609,0.220029,0.01642,0.011494
42:45.5,-100.292915,32.22411359,38.65011359,7.618764,7.656529,,7.319902,7.349457,,6.649947,6.645021,,7.360956,7.353567,,-0.469599,-0.459747,0.380945,0.376019,-0.275857,-0.262721,-0.292268,-0.2857,0.200325,0.216745,0.013136,0.00821
42:46.5,-100.292915,32.22411359,38.65011359,7.6319,7.669665,,7.339606,7.369161,,6.679502,6.674576,,7.390512,7.383123,,-0.459747,-0.449895,0.338253,0.333327,-0.275857,-0.262721,-0.279132,-0.272564,0.164201,0.180621,0.009852,0.004926
42:47.5,-101.940559,32.75350161,39.17950161,7.658172,7.695937,,7.380655,7.41021,,6.720552,6.715626,,7.429919,7.42253,,-0.440044,-0.430192,0.331685,0.326759,-0.275857,-0.262721,-0.262713,-0.256145,0.118224,0.134644,0.006568,0.001642
42:48.5,-101.28614,32.54323678,38.96923678,7.672949,7.710714,,7.406927,7.436482,,6.758317,6.753391,,7.459475,7.452086,,-0.433476,-0.423624,0.305413,0.300487,-0.275857,-0.262721,-0.252861,-0.246293,0.078816,0.095236,0.003284,-0.001642
42:49.5,-102.829163,33.03901007,39.46501007,7.702505,7.74027,,7.447976,7.477531,,6.79444,6.789514,,7.492314,7.484925,,-0.433476,-0.423624,0.262721,0.257795,-0.275857,-0.262721,-0.233157,-0.226589,0.062396,0.078816,-0.009852,-0.014778
42:50.5,-102.784576,33.02468427,39.45068427,7.722209,7.759974,,7.480816,7.510371,,6.823996,6.81907,,7.516944,7.509555,,-0.42034,-0.410488,0.239732,0.234806,-0.275857,-0.262721,-0.220022,-0.213454,0.042692,0.059112,-0.013136,-0.018062
42:51.5,-103.328644,33.19949332,39.62549332,7.733703,7.771468,,7.498878,7.528433,,6.848626,6.8437,,7.536648,7.529259,,-0.413773,-0.403921,0.210176,0.20525,-0.275857,-0.262721,-0.206886,-0.200318,0.019704,0.036124,-0.019704,-0.02463
42:52.5,-103.834526,33.3620332,39.7880332,7.753407,7.791172,,7.541569,7.571124,,6.888033,6.883107,,7.564561,7.557172,,-0.387501,-0.377649,0.183904,0.178978,-0.275857,-0.262721,-0.200318,-0.19375,-0.009852,0.006568,-0.026272,-0.031198
42:53.5,-103.834526,33.3620332,39.7880332,7.764901,7.802666,,7.564557,7.594112,,6.906095,6.901169,,7.587549,7.58016,,-0.387501,-0.377649,0.14778,0.142854,-0.275857,-0.262721,-0.190467,-0.183899,-0.04926,-0.03284,-0.042692,-0.047618
42:54.5,-104.168243,33.46925648,39.89525648,7.779678,7.817443,,7.586724,7.616279,,6.92744,6.922514,,7.626956,7.619567,,-0.371082,-0.36123,0.137928,0.133002,-0.275857,-0.262721,-0.167479,-0.160911,-0.06568,-0.04926,-0.042692,-0.047618
42:55.5,-104.168243,33.46925648,39.89525648,7.786246,7.824011,,7.595755,7.62531,,6.938934,6.934008,,7.699204,7.691815,,-0.367798,-0.357946,0.128076,0.12315,-0.275857,-0.262721,-0.157628,-0.15106,-0.078816,-0.062396,-0.055828,-0.060754
42:56.5,-104.449661,33.55967608,39.98567608,7.80595,7.843715,,7.615458,7.645013,,6.963563,6.958637,,7.771451,7.764062,,-0.354662,-0.34481,0.11494,0.110014,-0.275857,-0.262721,-0.144492,-0.137924,-0.085384,-0.068964,-0.068964,-0.07389
42:57.5,-105.208481,33.80348495,40.22948495,7.814981,7.852746,,7.622026,7.651581,,6.979983,6.975057,,7.801007,7.793618,,-0.357946,-0.348094,0.105088,0.100162,-0.275857,-0.262721,-0.137924,-0.131356,-0.088668,-0.072248,-0.075532,-0.080458
42:58.5,-105.888504,34.02197634,40.44797634,7.845358,7.883123,,7.661434,7.690989,,7.014464,7.009538,,7.823994,7.816605,,-0.348094,-0.338242,0.062396,0.05747,-0.279141,-0.266005,-0.131356,-0.124788,-0.105088,-0.088668,-0.062396,-0.067322
42:59.5,-106.101501,34.09041227,40.51641227,7.86342,7.901185,,7.690989,7.720544,,7.040736,7.03581,,7.846982,7.839593,,-0.341527,-0.331675,0.03284,0.027914,-0.275857,-0.262721,-0.119863,-0.113295,-0.118224,-0.101804,-0.059112,-0.064038
43:00.5,-106.255775,34.13998051,40.56598051,7.884766,7.922531,,7.710693,7.740248,,7.058798,7.053872,,7.866686,7.859297,,-0.338243,-0.328391,0.013136,0.00821,-0.275857,-0.262721,-0.105085,-0.098517,-0.13136,-0.11494,-0.0821,-0.087026
43:01.5,-107.075958,34.40350531,40.82950531,7.896259,7.934024,,7.746817,7.776372,,7.081785,7.076859,,7.889674,7.882285,,-0.321823,-0.311971,-0.006568,-0.011494,-0.275857,-0.262721,-0.098517,-0.091949,-0.177337,-0.160917,-0.091952,-0.096878
43:02.6,-107.040642,34.39215827,40.81815827,7.901186,7.938951,,7.745175,7.77473,,7.098205,7.093279,,7.896242,7.888853,,-0.311971,-0.302119,-0.022988,-0.027914,-0.279141,-0.266005,-0.07553,-0.068962,-0.206893,-0.190473,-0.095236,-0.100162
43:03.6,-107.120102,34.41768877,40.84368877,7.907753,7.945518,,7.764058,7.793613,,7.117908,7.112982,,7.911019,7.90363,,-0.30212,-0.292268,-0.026272,-0.031198,-0.282425,-0.269289,-0.062394,-0.055826,-0.216745,-0.200325,-0.09852,-0.103446
43:04.6,-107.745834,34.61873646,41.04473646,7.920889,7.958654,,7.784582,7.814137,,7.142538,7.137612,,7.930723,7.923334,,-0.295552,-0.2857,-0.026272,-0.031198,-0.292277,-0.279141,-0.049259,-0.042691,-0.216745,-0.200325,-0.09852,-0.103446
43:05.6,-107.795494,34.63469222,41.06069222,7.937309,7.975074,,7.79115,7.820705,,7.162242,7.157316,,7.947143,7.939754,,-0.292268,-0.282416,-0.03284,-0.037766,-0.298845,-0.285709,-0.036123,-0.029555,-0.226597,-0.210177,-0.131359,-0.136285
43:06.6,-108.304466,34.79822493,41.22422493,7.96276,8.000525,,7.814959,7.844514,,7.178661,7.173735,,7.966847,7.959458,,-0.288984,-0.279132,-0.04926,-0.054186,-0.298845,-0.285709,-0.039407,-0.032839,-0.266005,-0.249585,-0.147779,-0.152705
