Displacement in m,Displacement in mm,Load in N,Load in kN
0.014061,14.061137,33416.843750,33.416844
0.014104,14.104348,33376.660156,33.376660
0.014148,14.147595,33336.582031,33.336582
0.014191,14.190881,33296.609375,33.296609
0.014234,14.234207,33256.746094,33.256746
0.014278,14.277575,33216.992188,33.216992
0.014321,14.320989,33177.343750,33.177344
0.014364,14.364452,33137.800781,33.137801
0.014408,14.407967,33098.367188,33.098367
0.014452,14.451536,33059.035156,33.059035
0.014495,14.495163,33019.812500,33.019813
0.014539,14.538852,32980.691406,32.980691
0.014583,14.582611,32941.679688,32.941680
0.014626,14.626443,32902.773438,32.902773
0.014670,14.670360,32863.968750,32.863969
0.014714,14.714370,32825.273438,32.825273
0.014758,14.758479,32786.683594,32.786684
0.014803,14.802697,32748.201172,32.748201
0.014847,14.847030,32709.820312,32.709820
0.014891,14.891486,32671.546875,32.671547
0.014936,14.936074,32633.376953,32.633377
0.014981,14.980802,32595.312500,32.595312
0.015026,15.025673,32557.353516,32.557354
0.015071,15.070697,32519.498047,32.519498
0.015116,15.115871,32481.746094,32.481746
0.015161,15.161200,32444.099609,32.444100
0.015207,15.206684,32406.556641,32.406557
0.015252,15.252325,32369.117188,32.369117
0.015298,15.298117,32331.783203,32.331783
0.015344,15.344055,32294.552734,32.294553
0.015390,15.390138,32257.427734,32.257428
0.015436,15.436363,32220.408203,32.220408
0.015483,15.482727,32183.494141,32.183494
0.015529,15.529220,32146.683594,32.146684
0.015576,15.575846,32109.980469,32.109980
0.015623,15.622615,32073.384766,32.073385
0.015670,15.669523,32036.894531,32.036895
0.015717,15.716560,32000.511719,32.000512
0.015764,15.763732,31964.236328,31.964236
0.015811,15.811039,31928.072266,31.928072
0.015858,15.858486,31892.015625,31.892016
0.015906,15.906077,31856.068359,31.856068
0.015954,15.953809,31820.234375,31.820234
0.016002,16.001707,31784.509766,31.784510
0.016050,16.049789,31748.896484,31.748896
0.016098,16.098065,31713.394531,31.713395
0.016147,16.146544,31678.005859,31.678006
0.016195,16.195245,31642.728516,31.642729
0.016244,16.244240,31607.564453,31.607564
0.016294,16.293552,31572.511719,31.572512
0.016343,16.343189,31537.570312,31.537570
0.016393,16.393155,31502.742188,31.502742
0.016443,16.443454,31468.025391,31.468025
0.016494,16.494090,31433.419922,31.433420
0.016545,16.545063,31398.923828,31.398924
0.016596,16.596375,31364.539062,31.364539
0.016648,16.648034,31330.263672,31.330264
0.016700,16.700039,31296.097656,31.296098
0.016752,16.752401,31262.041016,31.262041
0.016805,16.805137,31228.091797,31.228092
0.016858,16.858241,31194.250000,31.194250
0.016912,16.911717,31160.517578,31.160518
0.016966,16.965572,31126.892578,31.126893
0.017020,17.019810,31093.376953,31.093377
0.017074,17.074443,31059.970703,31.059971
0.017129,17.129475,31026.671875,31.026672
0.017185,17.184915,30993.482422,30.993482
0.017241,17.240759,30960.402344,30.960402
0.017297,17.297016,30927.431641,30.927432
0.017354,17.353686,30894.572266,30.894572
0.017411,17.410770,30861.824219,30.861824
0.017468,17.468266,30829.189453,30.829189
0.017526,17.526174,30796.666016,30.796666
0.017584,17.584492,30764.257812,30.764258
0.017643,17.643224,30731.960938,30.731961
0.017702,17.702371,30699.779297,30.699779
0.017762,17.761927,30667.712891,30.667713
0.017822,17.821897,30635.761719,30.635762
0.017882,17.882280,30603.925781,30.603926
