Time in Seconds,Time in Minutes,Displacement in m,,Displacement in mm
8492.842773,141.54738,0.006502,6.502467,-6.502467
8492.842773,141.54738,0.006502,6.502467,-6.502467
8552.842773,142.54738,0.006438,6.437683,-6.437683
8552.842773,142.54738,0.006438,6.437683,-6.437683
8612.842773,143.54738,0.006422,6.421662,-6.421662
8612.842773,143.54738,0.006422,6.421662,-6.421662
8672.842773,144.54738,0.006441,6.440899,-6.440899
8672.842773,144.54738,0.006441,6.440899,-6.440899
8732.842773,145.54738,0.006439,6.439155,-6.439155
8732.842773,145.54738,0.006439,6.439155,-6.439155
8792.842773,146.54738,0.006467,6.466797,-6.466797
8792.842773,146.54738,0.006467,6.466797,-6.466797
8852.842773,147.54738,0.0065,6.499579,-6.499579
8852.842773,147.54738,0.0065,6.499579,-6.499579
8912.842773,148.54738,0.006579,6.579042,-6.579042
8912.842773,148.54738,0.006579,6.579042,-6.579042
8972.842773,149.54738,0.006639,6.638548,-6.638548
8972.842773,149.54738,0.006639,6.638548,-6.638548
9032.842773,150.54738,0.006664,6.664174,-6.664174
9032.842773,150.54738,0.006664,6.664174,-6.664174
9092.842773,151.54738,0.006695,6.695395,-6.695395
9092.842773,151.54738,0.006695,6.695395,-6.695395
9152.842773,152.54738,0.006739,6.738628,-6.738628
9152.842773,152.54738,0.006739,6.738628,-6.738628
9212.842773,153.54738,0.006741,6.740692,-6.740692
9212.842773,153.54738,0.006741,6.740692,-6.740692
9272.842773,154.54738,0.006781,6.780936,-6.780936
9272.842773,154.54738,0.006781,6.780936,-6.780936
9332.842773,155.54738,0.006884,6.884234,-6.884234
9332.842773,155.54738,0.006884,6.884234,-6.884234
9392.842773,156.54738,0.007007,7.006723,-7.006723
9392.842773,156.54738,0.007007,7.006723,-7.006723
9452.842773,157.54738,0.007117,7.116916,-7.116916
9452.842773,157.54738,0.007117,7.116916,-7.116916
9512.842773,158.54738,0.007191,7.190537,-7.190537
9512.842773,158.54738,0.007191,7.190537,-7.190537
9572.842773,159.54738,0.007193,7.192748,-7.192748
9572.842773,159.54738,0.007193,7.192748,-7.192748
9632.842773,160.54738,0.007164,7.164467,-7.164467
9632.842773,160.54738,0.007164,7.164467,-7.164467
9692.842773,161.54738,0.007185,7.184621,-7.184621
9692.842773,161.54738,0.007185,7.184621,-7.184621
9752.842773,162.54738,0.007196,7.19618,-7.19618
9752.842773,162.54738,0.007196,7.19618,-7.19618
9812.842773,163.54738,0.007213,7.213137,-7.213137
9812.842773,163.54738,0.007213,7.213137,-7.213137
9872.842773,164.54738,0.007266,7.265718,-7.265718
9872.842773,164.54738,0.007266,7.265718,-7.265718
9932.842773,165.54738,0.00738,7.380011,-7.380011
9932.842773,165.54738,0.00738,7.380011,-7.380011
9992.842773,166.54738,0.007478,7.477928,-7.477928
9992.842773,166.54738,0.007478,7.477928,-7.477928
10052.84277,167.54738,0.007512,7.511521,-7.511521
10052.84277,167.54738,0.007512,7.511521,-7.511521
10112.84277,168.54738,0.007465,7.465106,-7.465106
10112.84277,168.54738,0.007465,7.465106,-7.465106
10172.84277,169.54738,0.007432,7.432033,-7.432033
10172.84277,169.54738,0.007432,7.432033,-7.432033
10232.84277,170.54738,0.007431,7.430766,-7.430766
10232.84277,170.54738,0.007431,7.430766,-7.430766
10292.84277,171.54738,0.007405,7.405339,-7.405339
10292.84277,171.54738,0.007405,7.405339,-7.405339
10352.84277,172.54738,0.00736,7.359677,-7.359677
10352.84277,172.54738,0.00736,7.359677,-7.359677
10412.84277,173.54738,0.007346,7.345882,-7.345882
10412.84277,173.54738,0.007346,7.345882,-7.345882
10472.84277,174.54738,0.007204,7.20421,-7.20421
10472.84277,174.54738,0.007204,7.20421,-7.20421
10532.84277,175.54738,0.006638,6.63757,-6.63757
10532.84277,175.54738,0.006638,6.63757,-6.63757
10547.84277,175.79738,0.006432,6.432263,-6.432263
10547.84277,175.79738,0.006432,6.432263,-6.432263
10553.46777,175.89113,0.006361,6.361436,-6.361436
10553.46777,175.89113,0.006361,6.361436,-6.361436
10555.57715,175.926286,0.006336,6.336132,-6.336132
10555.57715,175.926286,0.006336,6.336132,-6.336132
10558.74121,175.97902,0.0063,6.300336,-6.300336
10558.74121,175.97902,0.0063,6.300336,-6.300336
10559.92773,175.998796,0.006287,6.287066,-6.287066
10559.92773,175.998796,0.006287,6.287066,-6.287066
10560.37207,176.006201,0.006312,6.311628,-6.311628
10560.37207,176.006201,0.006312,6.311628,-6.311628
10561.04004,176.017334,0.006404,6.404494,-6.404494
10561.04004,176.017334,0.006404,6.404494,-6.404494
10562.04102,176.034017,0.006579,6.57858,-6.57858
10562.04102,176.034017,0.006579,6.57858,-6.57858
10563.54297,176.059049,0.006776,6.775912,-6.775912
10563.54297,176.059049,0.006776,6.775912,-6.775912
10565.79492,176.096582,0.007046,7.04593,-7.04593
10565.79492,176.096582,0.007046,7.04593,-7.04593
10566.00586,176.100098,0.007059,7.059444,-7.059444
10566.00586,176.100098,0.007059,7.059444,-7.059444
10566.32324,176.105387,0.007061,7.060961,-7.060961
10566.32324,176.105387,0.007061,7.060961,-7.060961
10566.79785,176.113298,0.007032,7.032171,-7.032171
10566.79785,176.113298,0.007032,7.032171,-7.032171
10566.97656,176.116276,0.007025,7.024958,-7.024958
10566.97656,176.116276,0.007025,7.024958,-7.024958
10567.1543,176.119238,0.007018,7.017572,-7.017572
10567.1543,176.119238,0.007018,7.017572,-7.017572
10567.33301,176.122217,0.007007,7.00727,-7.00727
10567.33301,176.122217,0.007007,7.00727,-7.00727
10567.51074,176.125179,0.006994,6.994319,-6.994319
10567.51074,176.125179,0.006994,6.994319,-6.994319
10567.68945,176.128158,0.00698,6.979698,-6.979698
10567.68945,176.128158,0.00698,6.979698,-6.979698
10567.95606,176.132601,0.006952,6.951957,-6.951957
10567.95606,176.132601,0.006952,6.951957,-6.951957
10568.35742,176.13929,0.006913,6.912703,-6.912703
10568.35742,176.13929,0.006913,6.912703,-6.912703
10568.95898,176.149316,0.006867,6.867161,-6.867161
10568.95898,176.149316,0.006867,6.867161,-6.867161
10569.86035,176.164339,0.006822,6.822157,-6.822157
10569.86035,176.164339,0.006822,6.822157,-6.822157
10571.21387,176.186898,0.006758,6.75796,-6.75796
10571.21387,176.186898,0.006758,6.75796,-6.75796
10572.56641,176.20944,0.006662,6.66237,-6.66237
10572.56641,176.20944,0.006662,6.66237,-6.66237
10572.90527,176.215088,0.006633,6.632798,-6.632798
10572.90527,176.215088,0.006633,6.632798,-6.632798
10573.41211,176.223535,0.006561,6.560506,-6.560506
10573.41211,176.223535,0.006561,6.560506,-6.560506
10573.60254,176.226709,0.00653,6.529951,-6.529951
10573.60254,176.226709,0.00653,6.529951,-6.529951
10573.8877,176.231462,0.006472,6.472071,-6.472071
10573.8877,176.231462,0.006472,6.472071,-6.472071
10574.31641,176.238607,0.006357,6.356673,-6.356673
10574.31641,176.238607,0.006357,6.356673,-6.356673
10574.47656,176.241276,0.006309,6.30945,-6.30945
10574.47656,176.241276,0.006309,6.30945,-6.30945
10574.53711,176.242285,0.006291,6.291161,-6.291161
10574.53711,176.242285,0.006291,6.291161,-6.291161
10574.62695,176.243783,0.006263,6.263325,-6.263325
10574.62695,176.243783,0.006263,6.263325,-6.263325
10574.63574,176.243929,0.006261,6.260715,-6.260715
10574.63574,176.243929,0.006261,6.260715,-6.260715
10574.64844,176.244141,0.006257,6.256829,-6.256829
