Time in Seconds,Time in Minutes,Displacement in m-Stud1,Displacement in mm-Stud1,Displacement in m-Stud2,Displacement in mm-Stud2
2930.966797,48.849447,0.001332,-1.332099,0.001338,-1.337805
2930.966797,48.849447,0.001332,-1.332099,0.001338,-1.337805
2990.966797,49.849447,0.00137,-1.369758,0.001377,-1.376853
2990.966797,49.849447,0.00137,-1.369758,0.001377,-1.376853
3050.966797,50.849447,0.001387,-1.386989,0.001395,-1.394933
3050.966797,50.849447,0.001387,-1.386989,0.001395,-1.394933
3110.966797,51.849447,0.00141,-1.410154,0.00142,-1.419794
3110.966797,51.849447,0.00141,-1.410154,0.00142,-1.419794
3170.966797,52.849447,0.001497,-1.497411,0.001509,-1.508529
3170.966797,52.849447,0.001497,-1.497411,0.001509,-1.508529
3230.966797,53.849447,0.001478,-1.477525,0.001488,-1.488109
3230.966797,53.849447,0.001478,-1.477525,0.001488,-1.488109
3290.966797,54.849447,0.001493,-1.49261,0.001504,-1.504041
3290.966797,54.849447,0.001493,-1.49261,0.001504,-1.504041
3350.966797,55.849447,0.001569,-1.568851,0.001582,-1.582263
3350.966797,55.849447,0.001569,-1.568851,0.001582,-1.582263
3410.966797,56.849447,0.001526,-1.525503,0.001539,-1.539486
3410.966797,56.849447,0.001526,-1.525503,0.001539,-1.539486
3470.966797,57.849447,0.001583,-1.583095,0.001599,-1.598712
3470.966797,57.849447,0.001583,-1.583095,0.001599,-1.598712
3530.966797,58.849447,0.001609,-1.609345,0.001627,-1.626936
3530.966797,58.849447,0.001609,-1.609345,0.001627,-1.626936
3590.966797,59.849447,0.001632,-1.63245,0.001651,-1.651321
3590.966797,59.849447,0.001632,-1.63245,0.001651,-1.651321
3650.966797,60.849447,0.001734,-1.733709,0.001755,-1.754637
3650.966797,60.849447,0.001734,-1.733709,0.001755,-1.754637
3710.966797,61.849447,0.001703,-1.702888,0.001725,-1.725298
3710.966797,61.849447,0.001703,-1.702888,0.001725,-1.725298
3770.966797,62.849447,0.001763,-1.76314,0.001788,-1.787974
3770.966797,62.849447,0.001763,-1.76314,0.001788,-1.787974
3830.966797,63.849447,0.001806,-1.806275,0.001834,-1.833613
3830.966797,63.849447,0.001806,-1.806275,0.001834,-1.833613
3890.966797,64.849447,0.001903,-1.903046,0.001935,-1.935358
3890.966797,64.849447,0.001903,-1.903046,0.001935,-1.935358
3950.966797,65.849447,0.002182,-2.181959,0.002226,-2.225518
3950.966797,65.849447,0.002182,-2.181959,0.002226,-2.225518
4010.966797,66.849447,0.002463,-2.462643,0.00252,-2.520467
4010.966797,66.849447,0.002463,-2.462643,0.00252,-2.520467
4070.966797,67.849447,0.00296,-2.959819,0.003045,-3.044651
4070.966797,67.849447,0.00296,-2.959819,0.003045,-3.044651
4130.966797,68.849447,0.003181,-3.181225,0.003289,-3.288949
4130.966797,68.849447,0.003181,-3.181225,0.003289,-3.288949
4190.966797,69.849447,0.003532,-3.531659,0.003671,-3.671292
4190.966797,69.849447,0.003532,-3.531659,0.003671,-3.671292
4250.966797,70.849447,0.003932,-3.932259,0.004112,-4.111648
4250.966797,70.849447,0.003932,-3.932259,0.004112,-4.111648
4310.966797,71.849447,0.004054,-4.05399,0.004262,-4.262289
4310.966797,71.849447,0.004054,-4.05399,0.004262,-4.262289
4370.966797,72.849447,0.004322,-4.322073,0.004571,-4.570686
4370.966797,72.849447,0.004322,-4.322073,0.004571,-4.570686
4430.966797,73.849447,0.004509,-4.50902,0.004785,-4.785224
4430.966797,73.849447,0.004509,-4.50902,0.004785,-4.785224
4490.966797,74.849447,0.004459,-4.459194,0.004728,-4.727575
4490.966797,74.849447,0.004459,-4.459194,0.004728,-4.727575
4550.966797,75.849447,0.004795,-4.794755,0.00509,-5.090497
4550.966797,75.849447,0.004795,-4.794755,0.00509,-5.090497
4610.966797,76.849447,0.004575,-4.575409,0.004827,-4.826764
4610.966797,76.849447,0.004575,-4.575409,0.004827,-4.826764
4670.966797,77.849447,0.004845,-4.845174,0.00512,-5.119816
4670.966797,77.849447,0.004845,-4.845174,0.00512,-5.119816
4730.966797,78.849447,0.00484,-4.840482,0.005089,-5.089347
4730.966797,78.849447,0.00484,-4.840482,0.005089,-5.089347
4790.966797,79.849447,0.00488,-4.879795,0.005113,-5.113062
4790.966797,79.849447,0.00488,-4.879795,0.005113,-5.113062
4850.966797,80.849447,0.005019,-5.018627,0.005233,-5.233434
4850.966797,80.849447,0.005019,-5.018627,0.005233,-5.233434
4910.966797,81.849447,0.004952,-4.951861,0.005128,-5.128221
4910.966797,81.849447,0.004952,-4.951861,0.005128,-5.128221
4970.966797,82.849447,0.005197,-5.196835,0.005372,-5.371606
