Time in Seconds,Time in Minutes,Displacement in m,Displacement in mm-O,Displacement in mm
8166.314941,136.105249,0.010921,10.921492,-10.921492
8166.314941,136.105249,0.010921,10.921492,-10.921492
8226.314453,137.105241,0.010962,10.962463,-10.962463
8226.314453,137.105241,0.010962,10.962463,-10.962463
8286.314453,138.105241,0.010937,10.936512,-10.936512
8286.314453,138.105241,0.010937,10.936512,-10.936512
8346.314453,139.105241,0.010941,10.94125,-10.94125
8346.314453,139.105241,0.010941,10.94125,-10.94125
8406.314453,140.105241,0.010939,10.939197,-10.939197
8406.314453,140.105241,0.010939,10.939197,-10.939197
8466.314453,141.105241,0.010873,10.873483,-10.873483
8466.314453,141.105241,0.010873,10.873483,-10.873483
8526.314453,142.105241,0.010867,10.8675,-10.8675
8526.314453,142.105241,0.010867,10.8675,-10.8675
8586.314453,143.105241,0.010878,10.877744,-10.877744
8586.314453,143.105241,0.010878,10.877744,-10.877744
8646.314453,144.105241,0.010865,10.864953,-10.864953
8646.314453,144.105241,0.010865,10.864953,-10.864953
8706.314453,145.105241,0.010861,10.861478,-10.861478
8706.314453,145.105241,0.010861,10.861478,-10.861478
8766.314453,146.105241,0.010811,10.811383,-10.811383
8766.314453,146.105241,0.010811,10.811383,-10.811383
8826.314453,147.105241,0.010807,10.807278,-10.807278
8826.314453,147.105241,0.010807,10.807278,-10.807278
8886.314453,148.105241,0.01081,10.809848,-10.809848
8886.314453,148.105241,0.01081,10.809848,-10.809848
8946.314453,149.105241,0.010811,10.810597,-10.810597
8946.314453,149.105241,0.010811,10.810597,-10.810597
9006.314453,150.105241,0.010795,10.795305,-10.795305
9006.314453,150.105241,0.010795,10.795305,-10.795305
9066.314453,151.105241,0.010747,10.747349,-10.747349
9066.314453,151.105241,0.010747,10.747349,-10.747349
9126.314453,152.105241,0.010741,10.741452,-10.741452
9126.314453,152.105241,0.010741,10.741452,-10.741452
9186.314453,153.105241,0.010733,10.732542,-10.732542
9186.314453,153.105241,0.010733,10.732542,-10.732542
9246.314453,154.105241,0.010689,10.689022,-10.689022
9246.314453,154.105241,0.010689,10.689022,-10.689022
9306.314453,155.105241,0.010713,10.712616,-10.712616
9306.314453,155.105241,0.010713,10.712616,-10.712616
9366.314453,156.105241,0.010721,10.721483,-10.721483
9366.314453,156.105241,0.010721,10.721483,-10.721483
9426.314453,157.105241,0.010704,10.703579,-10.703579
9426.314453,157.105241,0.010704,10.703579,-10.703579
9486.314453,158.105241,0.010733,10.732595,-10.732595
9486.314453,158.105241,0.010733,10.732595,-10.732595
