Time in Seconds,Time in Minutes,Load in N,Load in kN,Displacement in m,Displacement in mm-O,,Displacement in mm
255.606216,4.260104,27000,27,-0.00175,-1.749743,0.924386,0
255.92363,4.265394,27000,27,-0.00175,-1.749743,0.924386,0
256.042664,4.267378,27000,27,-0.00175,-1.749743,0.924386,0
256.102203,4.26837,27000,27,-0.00175,-1.749743,0.924386,0
256.221222,4.270354,27000,27,-0.00175,-1.749743,0.924386,0
256.45929,4.274321,27000,27,-0.00175,-1.749743,0.924386,0
256.816406,4.280273,27000,27,-0.00175,-1.749743,0.924386,0
257.352051,4.289201,27000,27,-0.00175,-1.749743,0.924386,0
258.155548,4.302592,27000,27,-0.00175,-1.749743,0.924386,0
259.360748,4.322679,27000,27,-0.00175,-1.749743,0.924386,0
261.16861,4.35281,27000,27,-0.00175,-1.749743,0.924386,0
263.880371,4.398006,27000,27,-0.00175,-1.749743,0.924386,0
264.897278,4.414955,27000,27,-0.00175,-1.749743,0.924386,0
266.422638,4.440377,27000,27,-0.00175,-1.749743,0.924386,0
266.994629,4.44991,27000,27,-0.00175,-1.749743,0.924386,0
268.138672,4.468978,27000,27,-0.00175,-1.749743,0.924386,0
268.710663,4.478511,27000,27,-0.00175,-1.749743,0.924386,0
269.854706,4.497578,27000,27,-0.00175,-1.749743,0.924386,0
270.426697,4.507112,27000,27,-0.00175,-1.749743,0.924386,0
271.57074,4.526179,27000,27,-0.00175,-1.749743,0.924386,0
272.142731,4.535712,27000,27,-0.00175,-1.749743,0.924386,0
273.286774,4.55478,27000,27,-0.00175,-1.749743,0.924386,0
273.858765,4.564313,27000,27,-0.00175,-1.749743,0.924386,0
274.073273,4.567888,27000,27,-0.00175,-1.749743,0.924386,0
274.502289,4.575038,27000,27,-0.00175,-1.749743,0.924386,0
275.360321,4.589339,27000,27,-0.00175,-1.749743,0.924386,0
275.682068,4.594701,27000,27,-0.00175,-1.749743,0.924386,0
276.325562,4.605426,27000,27,-0.00175,-1.749743,0.924386,0
277.61261,4.626877,27000,27,-0.00175,-1.749743,0.924386,0
278.095245,4.634921,27000,27,-0.00175,-1.749743,0.924386,0
278.336548,4.638942,27000,27,-0.00175,-1.749743,0.924386,0
278.819183,4.646986,27000,27,-0.00175,-1.749743,0.924386,0
279.784454,4.663074,27000,27,-0.00175,-1.749743,0.924386,0
280.26709,4.671118,27000,27,-0.00175,-1.749743,0.924386,0
280.508423,4.67514,27000,27,-0.00175,-1.749743,0.924386,0
280.991058,4.683184,27000,27,-0.00175,-1.749743,0.924386,0
281.956299,4.699272,27000,27,-0.00175,-1.749743,0.924386,0
282.318298,4.705305,27000,27,-0.00175,-1.749743,0.924386,0
282.499268,4.708321,27000,27,-0.00175,-1.749743,0.924386,0
282.861267,4.714354,27000,27,-0.00175,-1.749743,0.924386,0
283.042236,4.717371,27000,27,-0.00175,-1.749743,0.924386,0
283.404205,4.723403,27000,27,-0.00175,-1.749743,0.924386,0
283.585205,4.72642,27000,27,-0.00175,-1.749743,0.924386,0
283.947174,4.732453,27000,27,-0.00175,-1.749743,0.924386,0
284.671143,4.744519,27000,27,-0.00175,-1.749743,0.924386,0
284.942627,4.749044,27000,27,-0.00175,-1.749743,0.924386,0
285.078369,4.751306,27000,27,-0.00175,-1.749743,0.924386,0
285.349823,4.75583,27000,27,-0.00175,-1.749743,0.924386,0
285.892792,4.76488,27000,27,-0.00175,-1.749743,0.924386,0
286.096405,4.768273,27000,27,-0.00175,-1.749743,0.924386,0
286.198212,4.76997,27000,27,-0.00175,-1.749743,0.924386,0
286.401825,4.773364,27000,27,-0.00175,-1.749743,0.924386,0
286.809052,4.780151,27000,27,-0.00175,-1.749743,0.924386,0
286.961761,4.782696,27000,27,-0.00175,-1.749743,0.924386,0
287.038116,4.783969,27000,27,-0.00175,-1.749743,0.924386,0
287.190826,4.786514,27000,27,-0.00175,-1.749743,0.924386,0
287.496246,4.791604,27000,27,-0.00175,-1.749743,0.924386,0
287.610779,4.793513,27000,27,-0.00175,-1.749743,0.924386,0
287.66803,4.794467,27000,27,-0.00175,-1.749743,0.924386,0
287.782562,4.796376,27000,27,-0.00175,-1.749743,0.924386,0
287.839844,4.797331,27000,27,-0.00175,-1.749743,0.924386,0
287.954376,4.79924,27000,27,-0.00175,-1.749743,0.924386,0
288.011627,4.800194,27000,27,-0.00175,-1.749743,0.924386,0
288.12616,4.802103,27000,27,-0.00175,-1.749743,0.924386,0
288.355225,4.80592,27000,27,-0.00175,-1.749743,0.924386,0
288.698822,4.811647,27000,27,-0.00175,-1.749743,0.924386,0
289.214203,4.820237,27000,27,-0.00175,-1.749743,0.924386,0
289.987305,4.833122,27000,27,-0.00175,-1.749743,0.924386,0
291.146942,4.852449,27000,27,-0.00175,-1.749743,0.924386,0
292.886383,4.88144,27000,27,-0.00175,-1.749743,0.924386,0
293.049438,4.884157,27000,27,-0.00175,-1.749743,0.924386,0
293.37561,4.889594,27000,27,-0.00175,-1.749743,0.924386,0
293.497894,4.891632,27000,27,-0.00175,-1.749743,0.924386,0
293.742523,4.895709,27000,27,-0.00175,-1.749743,0.924386,0
294.23172,4.903862,27000,27,-0.00175,-1.749743,0.924386,0
294.415192,4.90692,27000,27,-0.00175,-1.749743,0.924386,0
294.506927,4.908449,27000,27,-0.00175,-1.749743,0.924386,0
294.690369,4.911506,27000,27,-0.00175,-1.749743,0.924386,0
295.057281,4.917621,27000,27,-0.00175,-1.749743,0.924386,0
295.791107,4.929852,27000,27,-0.00175,-1.749743,0.924386,0
296.891846,4.948197,27000,27,-0.00175,-1.749743,0.924386,0
298.542969,4.975716,27000,27,-0.00175,-1.749743,0.924386,0
299.16214,4.986036,27000,27,-0.00175,-1.749743,0.924386,0
300.090881,5.001515,27000,27,-0.00175,-1.749743,0.924386,0
300.439178,5.00732,27000,27,-0.00175,-1.749743,0.924386,0
301.135742,5.018929,27000,27,-0.00175,-1.749743,0.924386,0
301.484039,5.024734,27000,27,-0.00175,-1.749743,0.924386,0
301.658173,5.027636,27000,27,-0.00175,-1.749743,0.924386,0
302.006439,5.033441,27000,27,-0.00175,-1.749743,0.924386,0
302.703003,5.04505,27000,27,-0.00175,-1.749743,0.924386,0
302.964233,5.049404,27000,27,-0.00175,-1.749743,0.924386,0
303.486633,5.058111,27000,27,-0.00175,-1.749743,0.924386,0
304.531494,5.075525,27000,27,-0.00175,-1.749743,0.924386,0
304.923309,5.082055,27000,27,-0.00175,-1.749743,0.924386,0
305.70694,5.095116,27000,27,-0.00175,-1.749743,0.924386,0
306.000793,5.100013,27000,27,-0.00175,-1.749743,0.924386,0
306.588531,5.109809,27000,27,-0.00175,-1.749743,0.924386,0
306.882385,5.114706,27000,27,-0.00175,-1.749743,0.924386,0
307.470123,5.124502,27000,27,-0.00175,-1.749743,0.924386,0
308.645569,5.144093,27000,27,-0.00175,-1.749743,0.924386,0
309.086365,5.151439,27000,27,-0.00175,-1.749743,0.924386,0
309.306763,5.155113,27000,27,-0.00175,-1.749743,0.924386,0
309.747559,5.162459,27000,27,-0.00175,-1.749743,0.924386,0
309.967957,5.166133,27000,27,-0.00175,-1.749743,0.924386,0
310.408752,5.173479,27000,27,-0.00175,-1.749743,0.924386,0
311.290344,5.188172,27000,27,-0.00175,-1.749743,0.924386,0
311.73114,5.195519,27000,27,-0.00175,-1.749743,0.924386,0
311.951538,5.199192,27000,27,-0.00175,-1.749743,0.924386,0
312.392334,5.206539,27000,27,-0.00175,-1.749743,0.924386,0
312.612732,5.210212,27000,27,-0.00175,-1.749743,0.924386,0
313.053528,5.217559,27000,27,-0.00175,-1.749743,0.924386,0
313.93512,5.232252,27000,27,-0.00175,-1.749743,0.924386,0
314.375916,5.239599,27000,27,-0.00175,-1.749743,0.924386,0
314.596313,5.243272,27000,27,-0.00175,-1.749743,0.924386,0
315.037109,5.250618,27000,27,-0.00175,-1.749743,0.924386,0
315.918671,5.265311,27000,27,-0.00175,-1.749743,0.924386,0
316.249268,5.270821,27000,27,-0.00175,-1.749743,0.924386,0
316.414581,5.273576,27000,27,-0.00175,-1.749743,0.924386,0
316.745178,5.279086,27000,27,-0.00175,-1.749743,0.924386,0
316.910461,5.281841,27000,27,-0.00175,-1.749743,0.924386,0
317.241058,5.287351,27000,27,-0.00175,-1.749743,0.924386,0
317.406372,5.290106,27000,27,-0.00175,-1.749743,0.924386,0
317.736969,5.295616,27000,27,-0.00175,-1.749743,0.924386,0
318.398163,5.306636,27000,27,-0.00175,-1.749743,0.924386,0
318.646088,5.310768,27000,27,-0.00175,-1.749743,0.924386,0
318.770081,5.312835,27000,27,-0.00175,-1.749743,0.924386,0
319.018005,5.316967,27000,27,-0.00175,-1.749743,0.924386,0
319.141998,5.319033,27000,27,-0.00175,-1.749743,0.924386,0
319.389954,5.323166,27000,27,-0.00175,-1.749743,0.924386,0
319.885834,5.331431,27000,27,-0.00175,-1.749743,0.924386,0
320.629669,5.343828,27000,27,-0.00175,-1.749743,0.924386,0
321.745422,5.362424,27000,27,-0.00175,-1.749743,0.924386,0
322.163849,5.369397,27000,27,-0.00175,-1.749743,0.924386,0
322.373047,5.372884,27000,27,-0.00175,-1.749743,0.924386,0
322.791473,5.379858,27000,27,-0.00175,-1.749743,0.924386,0
323.000671,5.383345,27000,27,-0.00175,-1.749743,0.924386,0
323.419067,5.390318,27000,27,-0.00175,-1.749743,0.924386,0
323.628296,5.393805,27000,27,-0.00175,-1.749743,0.924386,0
